,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,5.14,Total Fertility Rate ,Absolute,15-49,Female,TFRPW1,15,49,4,No
1,Afghanistan,2011,5.4,Total Fertility Rate ,Absolute,15-49,Female,TFRPW2,15,49,4,No
2,Albania,2012,1.76,Total Fertility Rate ,Absolute,15-49,Female,TFRPW3,15,49,8,No
3,Albania,2011,1.75,Total Fertility Rate ,Absolute,15-49,Female,TFRPW4,15,49,8,No
4,Algeria,2012,2.82,Total Fertility Rate ,Absolute,15-49,Female,TFRPW5,15,49,12,No
5,Algeria,2011,2.83,Total Fertility Rate ,Absolute,15-49,Female,TFRPW6,15,49,12,No
6,Angola,2012,5.98,Total Fertility Rate ,Absolute,15-49,Female,TFRPW7,15,49,24,No
7,Angola,2011,6.1,Total Fertility Rate ,Absolute,15-49,Female,TFRPW8,15,49,24,No
8,Antigua and Barbuda,2012,2.1,Total Fertility Rate ,Absolute,15-49,Female,TFRPW9,15,49,28,No
9,Antigua and Barbuda,2011,2.12,Total Fertility Rate ,Absolute,15-49,Female,TFRPW10,15,49,28,No
10,Argentina,2012,2.19,Total Fertility Rate ,Absolute,15-49,Female,TFRPW11,15,49,32,No
11,Argentina,2011,2.2,Total Fertility Rate ,Absolute,15-49,Female,TFRPW12,15,49,32,No
12,Armenia,2012,1.74,Total Fertility Rate ,Absolute,15-49,Female,TFRPW13,15,49,51,No
13,Armenia,2011,1.74,Total Fertility Rate ,Absolute,15-49,Female,TFRPW14,15,49,51,No
14,Australia,2012,1.89,Total Fertility Rate ,Absolute,15-49,Female,TFRPW15,15,49,36,No
15,Australia,2011,1.89,Total Fertility Rate ,Absolute,15-49,Female,TFRPW16,15,49,36,No
16,Austria,2012,1.46,Total Fertility Rate ,Absolute,15-49,Female,TFRPW17,15,49,40,No
17,Austria,2011,1.44,Total Fertility Rate ,Absolute,15-49,Female,TFRPW18,15,49,40,No
18,Azerbaijan,2012,1.94,Total Fertility Rate ,Absolute,15-49,Female,TFRPW19,15,49,31,No
19,Azerbaijan,2011,1.96,Total Fertility Rate ,Absolute,15-49,Female,TFRPW20,15,49,31,No
20,Bahamas,2012,1.89,Total Fertility Rate ,Absolute,15-49,Female,TFRPW21,15,49,44,No
21,Bahamas,2011,1.9,Total Fertility Rate ,Absolute,15-49,Female,TFRPW22,15,49,44,No
22,Bahrain,2012,2.09,Total Fertility Rate ,Absolute,15-49,Female,TFRPW23,15,49,48,No
23,Bahrain,2011,2.12,Total Fertility Rate ,Absolute,15-49,Female,TFRPW24,15,49,48,No
24,Bangladesh,2012,2.21,Total Fertility Rate ,Absolute,15-49,Female,TFRPW25,15,49,50,No
25,Bangladesh,2011,2.24,Total Fertility Rate ,Absolute,15-49,Female,TFRPW26,15,49,50,No
26,Barbados,2012,1.85,Total Fertility Rate ,Absolute,15-49,Female,TFRPW27,15,49,52,No
27,Barbados,2011,1.84,Total Fertility Rate ,Absolute,15-49,Female,TFRPW28,15,49,52,No
28,Belarus,2012,1.48,Total Fertility Rate ,Absolute,15-49,Female,TFRPW29,15,49,112,No
29,Belarus,2011,1.47,Total Fertility Rate ,Absolute,15-49,Female,TFRPW30,15,49,112,No
30,Belgium,2012,1.85,Total Fertility Rate ,Absolute,15-49,Female,TFRPW31,15,49,56,No
31,Belgium,2011,1.85,Total Fertility Rate ,Absolute,15-49,Female,TFRPW32,15,49,56,No
32,Belize,2012,2.72,Total Fertility Rate ,Absolute,15-49,Female,TFRPW33,15,49,84,No
33,Belize,2011,2.76,Total Fertility Rate ,Absolute,15-49,Female,TFRPW34,15,49,84,No
34,Benin,2012,4.93,Total Fertility Rate ,Absolute,15-49,Female,TFRPW35,15,49,204,No
35,Benin,2011,5.01,Total Fertility Rate ,Absolute,15-49,Female,TFRPW36,15,49,204,No
36,Bhutan,2012,2.28,Total Fertility Rate ,Absolute,15-49,Female,TFRPW37,15,49,64,No
37,Bhutan,2011,2.32,Total Fertility Rate ,Absolute,15-49,Female,TFRPW38,15,49,64,No
38,Bolivia (Plurinational State of),2012,3.26,Total Fertility Rate ,Absolute,15-49,Female,TFRPW39,15,49,68,No
