,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,29381,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC1,0,130,4,No
1,Afghanistan,2011,27983,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC2,0,130,4,No
2,Afghanistan,2010,28029,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC3,0,130,4,No
3,Afghanistan,2009,26150,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC4,0,130,4,No
4,Afghanistan,2008,28301,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC5,0,130,4,No
5,Afghanistan,2007,28769,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC6,0,130,4,No
6,Afghanistan,2006,25475,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC7,0,130,4,No
7,Afghanistan,2005,21844,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC8,0,130,4,No
8,Afghanistan,2004,18404,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC9,0,130,4,No
9,Afghanistan,2003,13808,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC10,0,130,4,No
10,Afghanistan,2002,13794,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC11,0,130,4,No
11,Afghanistan,2001,10139,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC12,0,130,4,No
12,Afghanistan,2000,7107,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC13,0,130,4,No
13,Afghanistan,1999,3314,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC14,0,130,4,No
14,Afghanistan,1998,3084,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC15,0,130,4,No
15,Afghanistan,1997,1290,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC16,0,130,4,No
16,Afghanistan,1991,23067,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC17,0,130,4,No
17,Afghanistan,1990,4332,Tuberculosis new and relapse cases,Absolute,All,All,TBNARC18,0,130,4,No
