Metric_id,Country or Area,M49 code,ISO-alpha3 code,value_id,value,Year_id,Year,category,Gender,Value_Type,Metric_Type,Is_Currency,Age_Group,Start_Age,End_Age
B000000001,ALBANIA,8,ALB,1,304,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000002,ALGERIA,12,DZA,2,520,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000003,ANGUILLA,660,AIA,5,107,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000004,ANTIGUA AND BARBUDA,28,ATG,6,447,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000005,ARUBA,533,ABW,8,912,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000006,AUSTRALIA,36,AUS,9,3726,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000007,AZERBAIJAN,31,AZE,10,93,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000008,BAHAMAS,44,BHS,11,3239,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000009,BAHRAIN,48,BHR,12,2311,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000010,BARBADOS,52,BRB,13,927,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000011,BELIZE,84,BLZ,15,342,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000012,BENIN,204,BEN,16,580,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000013,BERMUDA,60,BMU,17,557,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000014,BOTSWANA,72,BWA,18,636,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000015,BRITISH VIRGIN ISLANDS,92,VGB,19,365,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000016,BRUNEI DARUSSALAM,96,BRN,20,498,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000017,BULGARIA,100,BGR,21,8005,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000018,CANADA,124,CAN,23,41657,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
B000000019,CAYMAN ISLANDS,136,CYM,24,1044,1995,01/01/1995,inbound,All,Absolute,inbound,No,Not Specified,0,130
