Uniq ID,Year,From Currency,To Currency,Average,Inv Avg
CURR_21557,2021,CNY,ADF,0.860592,1.161990816
CURR_21558,2020,CNY,ADF,0.833418,1.199878092
CURR_21559,2019,CNY,ADF,0.848142,1.179047848
CURR_21560,2018,CNY,ADF,0.840401,1.189908151
CURR_21561,2017,CNY,ADF,0.860509,1.162102895
CURR_21562,2016,CNY,ADF,0.892393,1.120582524
CURR_21563,2015,CNY,ADF,0.941371,1.06228044
CURR_21564,2014,CNY,ADF,0.802819,1.245610779
CURR_21565,2013,CNY,ADF,0.803648,1.244325874
CURR_21566,2012,CNY,ADF,0.809679,1.23505735
CURR_21567,2011,CNY,ADF,0.730222,1.369446552
CURR_21568,2010,CNY,ADF,0.732624,1.364956649
CURR_21569,2009,CNY,ADF,0.690413,1.448408416
CURR_21570,2008,CNY,ADF,0.645794,1.548481404
CURR_21571,2007,CNY,ADF,0.62999,1.587326783
CURR_21572,2006,CNY,ADF,0.655707,1.525071411
CURR_21573,2005,CNY,ADF,0.645205,1.549894995
CURR_21574,2004,CNY,ADF,0.638371,1.566487199
CURR_21575,2003,CNY,ADF,0.702569,1.423347742
CURR_21576,2002,CNY,ADF,0.841516,1.188331535
CURR_21577,2001,CNY,ADF,0.872925,1.145573789
CURR_21578,2000,CNY,ADF,0.79464,1.258431491
CURR_21579,2021,CNY,ADP,21.829249,0.045810096
CURR_21580,2020,CNY,ADP,21.139954,0.047303793
CURR_21581,2019,CNY,ADP,21.513458,0.046482532
CURR_21582,2018,CNY,ADP,21.317103,0.04691069
CURR_21583,2017,CNY,ADP,21.827139,0.045814525
CURR_21584,2016,CNY,ADP,22.635877,0.044177657
CURR_21585,2015,CNY,ADP,23.878225,0.04187916
CURR_21586,2014,CNY,ADP,20.363811,0.049106722
CURR_21587,2013,CNY,ADP,20.384836,0.049056073
CURR_21588,2012,CNY,ADP,20.537812,0.048690678
CURR_21589,2011,CNY,ADP,18.52235,0.05398883
CURR_21590,2010,CNY,ADP,18.58329,0.053811785
CURR_21591,2009,CNY,ADP,17.516655,0.057088525
CURR_21592,2008,CNY,ADP,16.380804,0.061047065
CURR_21593,2007,CNY,ADP,15.979926,0.062578513
CURR_21594,2006,CNY,ADP,16.632269,0.060124088
CURR_21595,2005,CNY,ADP,16.365865,0.061102789
CURR_21596,2004,CNY,ADP,16.192521,0.061756906
CURR_21597,2003,CNY,ADP,17.820922,0.056113819
CURR_21598,2002,CNY,ADP,21.345382,0.046848541
CURR_21599,2001,CNY,ADP,22.454765,0.044533978
CURR_21600,2000,CNY,ADP,22.646056,0.044157799
CURR_21601,2021,CNY,AED,0.56949,1.755957084
CURR_21602,2020,CNY,AED,0.532614,1.877532322
CURR_21603,2019,CNY,AED,0.531619,1.881046388
CURR_21604,2018,CNY,AED,0.555714,1.799486786
CURR_21605,2017,CNY,AED,0.543566,1.839702998
CURR_21606,2016,CNY,AED,0.552936,1.808527569
CURR_21607,2015,CNY,AED,0.584405,1.711142102
CURR_21608,2014,CNY,AED,0.596125,1.677500524
CURR_21609,2013,CNY,AED,0.597389,1.673951144
CURR_21610,2012,CNY,AED,0.582102,1.717911981
CURR_21611,2011,CNY,AED,0.568392,1.759349182
