Uniq ID,Year,From Currency,To Currency,Average,Inv Avg
CURR_10779,2021,EUR,ADF,6.55957,0.152449017
CURR_10780,2020,EUR,ADF,6.55957,0.152449017
CURR_10781,2019,EUR,ADF,6.55957,0.152449017
CURR_10782,2018,EUR,ADF,6.55957,0.152449017
CURR_10783,2017,EUR,ADF,6.55957,0.152449017
CURR_10784,2016,EUR,ADF,6.55957,0.152449017
CURR_10785,2015,EUR,ADF,6.55957,0.152449017
CURR_10786,2014,EUR,ADF,6.55957,0.152449017
CURR_10787,2013,EUR,ADF,6.55957,0.152449017
CURR_10788,2012,EUR,ADF,6.55957,0.152449017
CURR_10789,2011,EUR,ADF,6.55957,0.152449017
CURR_10790,2010,EUR,ADF,6.55957,0.152449017
CURR_10791,2009,EUR,ADF,6.55957,0.152449017
CURR_10792,2008,EUR,ADF,6.55957,0.152449017
CURR_10793,2007,EUR,ADF,6.55957,0.152449017
CURR_10794,2006,EUR,ADF,6.55957,0.152449017
CURR_10795,2005,EUR,ADF,6.55957,0.152449017
CURR_10796,2004,EUR,ADF,6.55957,0.152449017
CURR_10797,2003,EUR,ADF,6.55957,0.152449017
CURR_10798,2002,EUR,ADF,6.55957,0.152449017
CURR_10799,2001,EUR,ADF,6.460924,0.154776623
CURR_10800,2000,EUR,ADF,5.890924,0.169752657
CURR_10801,2021,EUR,ADP,166.386,0.006010121
CURR_10802,2020,EUR,ADP,166.386,0.006010121
CURR_10803,2019,EUR,ADP,166.386,0.006010121
CURR_10804,2018,EUR,ADP,166.386,0.006010121
CURR_10805,2017,EUR,ADP,166.386,0.006010121
CURR_10806,2016,EUR,ADP,166.386,0.006010121
CURR_10807,2015,EUR,ADP,166.386,0.006010121
CURR_10808,2014,EUR,ADP,166.386,0.006010121
CURR_10809,2013,EUR,ADP,166.386,0.006010121
CURR_10810,2012,EUR,ADP,166.386,0.006010121
CURR_10811,2011,EUR,ADP,166.386,0.006010121
CURR_10812,2010,EUR,ADP,166.386,0.006010121
CURR_10813,2009,EUR,ADP,166.386,0.006010121
CURR_10814,2008,EUR,ADP,166.386,0.006010121
CURR_10815,2007,EUR,ADP,166.386,0.006010121
CURR_10816,2006,EUR,ADP,166.386,0.006010121
CURR_10817,2005,EUR,ADP,166.386,0.006010121
CURR_10818,2004,EUR,ADP,166.386,0.006010121
CURR_10819,2003,EUR,ADP,166.386,0.006010121
