Uniq ID,Year,From Currency,To Currency,Average,Inv Avg
CURR_00001,2021,USD,ADF,5.549281,0.180203525
CURR_00002,2020,USD,ADF,5.751614,0.173864241
CURR_00003,2019,USD,ADF,5.860376,0.170637515
CURR_00004,2018,USD,ADF,5.559774,0.179863426
CURR_00005,2017,USD,ADF,5.818572,0.171863474
CURR_00006,2016,USD,ADF,5.92913,0.168658808
CURR_00007,2015,USD,ADF,5.916052,0.169031645
CURR_00008,2014,USD,ADF,4.945526,0.202202961
CURR_00009,2013,USD,ADF,4.940893,0.202392563
CURR_00010,2012,USD,ADF,5.108906,0.195736621
CURR_00011,2011,USD,ADF,4.717768,0.211964641
CURR_00012,2010,USD,ADF,4.958266,0.201683411
CURR_00013,2009,USD,ADF,4.716122,0.21203862
CURR_00014,2008,USD,ADF,4.483461,0.223041976
CURR_00015,2007,USD,ADF,4.79343,0.20861888
CURR_00016,2006,USD,ADF,5.228982,0.191241813
CURR_00017,2005,USD,ADF,5.281089,0.189354885
CURR_00018,2004,USD,ADF,5.279327,0.189418083
CURR_00019,2003,USD,ADF,5.810243,0.172109841
CURR_00020,2002,USD,ADF,6.95934,0.143691787
CURR_00021,2001,USD,ADF,7.219093,0.138521557
CURR_00022,2000,USD,ADF,6.571673,0.152168253
CURR_00023,2021,USD,ADP,140.759638,0.007104309
CURR_00024,2020,USD,ADP,145.891875,0.006854391
CURR_00025,2019,USD,ADP,148.650689,0.00672718
CURR_00026,2018,USD,ADP,141.025801,0.007090901
CURR_00027,2017,USD,ADP,147.590308,0.006775513
CURR_00028,2016,USD,ADP,150.39464,0.006649173
CURR_00029,2015,USD,ADP,150.062914,0.006663872
CURR_00030,2014,USD,ADP,125.445152,0.007971611
CURR_00031,2013,USD,ADP,125.327638,0.007979086
CURR_00032,2012,USD,ADP,129.589364,0.007716683
CURR_00033,2011,USD,ADP,119.668,0.008356453
CURR_00034,2010,USD,ADP,125.768319,0.007951128
CURR_00035,2009,USD,ADP,119.654132,0.008357421
CURR_00036,2008,USD,ADP,113.7247,0.008793165
CURR_00037,2007,USD,ADP,121.587174,0.008224552
CURR_00038,2006,USD,ADP,132.63512,0.007539481
CURR_00039,2005,USD,ADP,133.956844,0.007465091
CURR_00040,2004,USD,ADP,133.912148,0.007467582
CURR_00041,2003,USD,ADP,147.379022,0.006785226
CURR_00042,2002,USD,ADP,176.526312,0.005664878
CURR_00043,2001,USD,ADP,185.700904,0.005385003
CURR_00044,2000,USD,ADP,187.282884,0.005339516
CURR_00045,2021,USD,AED,3.6725,0.272294078
CURR_00046,2020,USD,AED,3.6725,0.272294078
CURR_00047,2019,USD,AED,3.672536,0.272291408
CURR_00048,2018,USD,AED,3.672506,0.272293633
CURR_00049,2017,USD,AED,3.672487,0.272295041
CURR_00050,2016,USD,AED,3.6725,0.272294078
CURR_00051,2015,USD,AED,3.6725,0.272294078
CURR_00052,2014,USD,AED,3.6725,0.272294078
CURR_00053,2013,USD,AED,3.6725,0.272294078
CURR_00054,2012,USD,AED,3.6725,0.272294078
CURR_00055,2011,USD,AED,3.672504,0.272293781
CURR_00056,2010,USD,AED,3.6725,0.272294078
CURR_00057,2009,USD,AED,3.6725,0.272294078
CURR_00058,2008,USD,AED,3.6725,0.272294078
CURR_00059,2007,USD,AED,3.6725,0.272294078
CURR_00060,2006,USD,AED,3.6725,0.272294078
CURR_00061,2005,USD,AED,3.6725,0.272294078
CURR_00062,2004,USD,AED,3.6725,0.272294078
CURR_00063,2003,USD,AED,3.6725,0.272294078
CURR_00064,2002,USD,AED,3.6725,0.272294078
CURR_00065,2001,USD,AED,3.6725,0.272294078
CURR_00066,2000,USD,AED,3.739528,0.267413428
CURR_00067,1999,USD,AED,4.025545,0.248413569
CURR_00068,1998,USD,AED,3.622519,0.276051002
CURR_00069,1997,USD,AED,4.059334,0.246345829
CURR_00070,1996,USD,AED,3.80078,0.263103889
CURR_00071,1995,USD,AED,3.453908,0.28952711
CURR_00072,1994,USD,AED,3.450535,0.289810131
CURR_00073,1993,USD,AED,3.797149,0.263355481
CURR_00074,1992,USD,AED,3.803902,0.26288795
CURR_00075,1991,USD,AED,4.05157,0.2468179
CURR_00076,1990,USD,AED,3.457248,0.289247401
CURR_00077,1989,USD,AED,3.889386,0.257109991
CURR_00078,1988,USD,AED,4.046254,0.247142171
CURR_00079,1987,USD,AED,3.405268,0.293662643
CURR_00080,1986,USD,AED,3.316936,0.301483055
CURR_00081,1985,USD,AED,3.432523,0.291330896
CURR_00082,1984,USD,AED,3.870916,0.258336786
CURR_00083,1983,USD,AED,3.998851,0.250071833
CURR_00084,1982,USD,AED,4.067089,0.245876105
CURR_00085,1981,USD,AED,4.326919,0.231111329
CURR_00086,1980,USD,AED,3.837067,0.260615726
CURR_00087,1979,USD,AED,3.815676,0.262076759
CURR_00088,1978,USD,AED,3.871211,0.2583171
CURR_00089,1977,USD,AED,3.903248,0.25619689
CURR_00090,1976,USD,AED,3.953072,0.252967818
CURR_00091,1975,USD,AED,3.961285,0.252443336
CURR_00092,1974,USD,AED,3.959045,0.252586167
CURR_00093,1973,USD,AED,3.996271,0.25023328
CURR_00094,1972,USD,AED,4.385978,0.22799932
CURR_00095,1971,USD,AED,4.747963,0.210616637
CURR_00096,1970,USD,AED,4.7619,0.21000021
CURR_00097,1969,USD,AED,4.7619,0.21000021
CURR_00098,1968,USD,AED,4.7619,0.21000021
CURR_00099,1967,USD,AED,4.7619,0.21000021
CURR_00100,1966,USD,AED,4.7619,0.21000021
CURR_00101,2021,USD,AFA,83483.48402,1.19784E-05
CURR_00102,2020,USD,AFA,76650.4674,1.30462E-05
CURR_00103,2019,USD,AFA,77578.50753,1.28902E-05
CURR_00104,2018,USD,AFA,71797.13087,1.39281E-05
CURR_00105,2017,USD,AFA,67938.35481,1.47192E-05
CURR_00106,2016,USD,AFA,67769.91007,1.47558E-05
CURR_00107,2015,USD,AFA,61235.93102,1.63303E-05
CURR_00108,2014,USD,AFA,56664.93093,1.76476E-05
CURR_00109,2013,USD,AFA,54176.21887,1.84583E-05
CURR_00110,2012,USD,AFA,49165.7002,2.03394E-05
CURR_00111,2011,USD,AFA,44456.62712,2.24938E-05
CURR_00112,2010,USD,AFA,45211.04144,2.21185E-05
CURR_00113,2009,USD,AFA,48404.80871,2.06591E-05
CURR_00114,2008,USD,AFA,45520.04113,2.19683E-05
CURR_00115,2007,USD,AFA,43036.64973,2.3236E-05
CURR_00116,2006,USD,AFA,43019.4261,2.32453E-05
