,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,294,Mortality rate,per 1k pop,15-60,Male,AMR1560A1,15,60,4,No
1,Afghanistan,2012,242,Mortality rate,per 1k pop,15-60,Female,AMR1560A2,15,60,4,No
2,Afghanistan,2012,268,Mortality rate,per 1k pop,15-60,All,AMR1560A3,15,60,4,No
3,Afghanistan,2000,349,Mortality rate,per 1k pop,15-60,Male,AMR1560A4,15,60,4,No
4,Afghanistan,2000,301,Mortality rate,per 1k pop,15-60,Female,AMR1560A5,15,60,4,No
5,Afghanistan,2000,325,Mortality rate,per 1k pop,15-60,All,AMR1560A6,15,60,4,No
6,Afghanistan,1990,412,Mortality rate,per 1k pop,15-60,Male,AMR1560A7,15,60,4,No
7,Afghanistan,1990,368,Mortality rate,per 1k pop,15-60,Female,AMR1560A8,15,60,4,No
8,Afghanistan,1990,389,Mortality rate,per 1k pop,15-60,All,AMR1560A9,15,60,4,No
9,Albania,2012,121,Mortality rate,per 1k pop,15-60,Male,AMR1560A10,15,60,8,No
10,Albania,2012,87,Mortality rate,per 1k pop,15-60,Female,AMR1560A11,15,60,8,No
11,Albania,2012,104,Mortality rate,per 1k pop,15-60,All,AMR1560A12,15,60,8,No
12,Albania,2000,157,Mortality rate,per 1k pop,15-60,Male,AMR1560A13,15,60,8,No
13,Albania,2000,103,Mortality rate,per 1k pop,15-60,Female,AMR1560A14,15,60,8,No
14,Albania,2000,130,Mortality rate,per 1k pop,15-60,All,AMR1560A15,15,60,8,No
15,Albania,1990,158,Mortality rate,per 1k pop,15-60,Male,AMR1560A16,15,60,8,No
16,Albania,1990,104,Mortality rate,per 1k pop,15-60,Female,AMR1560A17,15,60,8,No
17,Albania,1990,133,Mortality rate,per 1k pop,15-60,All,AMR1560A18,15,60,8,No
18,Algeria,2012,165,Mortality rate,per 1k pop,15-60,Male,AMR1560A19,15,60,12,No
19,Algeria,2012,122,Mortality rate,per 1k pop,15-60,Female,AMR1560A20,15,60,12,No
20,Algeria,2012,144,Mortality rate,per 1k pop,15-60,All,AMR1560A21,15,60,12,No
21,Algeria,2000,183,Mortality rate,per 1k pop,15-60,Male,AMR1560A22,15,60,12,No
22,Algeria,2000,138,Mortality rate,per 1k pop,15-60,Female,AMR1560A23,15,60,12,No
23,Algeria,2000,161,Mortality rate,per 1k pop,15-60,All,AMR1560A24,15,60,12,No
24,Algeria,1990,199,Mortality rate,per 1k pop,15-60,Male,AMR1560A25,15,60,12,No
25,Algeria,1990,152,Mortality rate,per 1k pop,15-60,Female,AMR1560A26,15,60,12,No
26,Algeria,1990,175,Mortality rate,per 1k pop,15-60,All,AMR1560A27,15,60,12,No
27,Andorra,2012,92,Mortality rate,per 1k pop,15-60,Male,AMR1560A28,15,60,20,No
28,Andorra,2012,43,Mortality rate,per 1k pop,15-60,Female,AMR1560A29,15,60,20,No
29,Andorra,2012,68,Mortality rate,per 1k pop,15-60,All,AMR1560A30,15,60,20,No
30,Andorra,2000,126,Mortality rate,per 1k pop,15-60,Male,AMR1560A31,15,60,20,No
31,Andorra,2000,50,Mortality rate,per 1k pop,15-60,Female,AMR1560A32,15,60,20,No
32,Andorra,2000,88,Mortality rate,per 1k pop,15-60,All,AMR1560A33,15,60,20,No
33,Andorra,1990,144,Mortality rate,per 1k pop,15-60,Male,AMR1560A34,15,60,20,No
34,Andorra,1990,60,Mortality rate,per 1k pop,15-60,Female,AMR1560A35,15,60,20,No
35,Andorra,1990,102,Mortality rate,per 1k pop,15-60,All,AMR1560A36,15,60,20,No
36,Angola,2012,376,Mortality rate,per 1k pop,15-60,Male,AMR1560A37,15,60,24,No
37,Angola,2012,336,Mortality rate,per 1k pop,15-60,Female,AMR1560A38,15,60,24,No
38,Angola,2012,356,Mortality rate,per 1k pop,15-60,All,AMR1560A39,15,60,24,No
39,Angola,2000,440,Mortality rate,per 1k pop,15-60,Male,AMR1560A40,15,60,24,No
40,Angola,2000,390,Mortality rate,per 1k pop,15-60,Female,AMR1560A41,15,60,24,No
41,Angola,2000,415,Mortality rate,per 1k pop,15-60,All,AMR1560A42,15,60,24,No
42,Angola,1990,505,Mortality rate,per 1k pop,15-60,Male,AMR1560A43,15,60,24,No
43,Angola,1990,409,Mortality rate,per 1k pop,15-60,Female,AMR1560A44,15,60,24,No
44,Angola,1990,458,Mortality rate,per 1k pop,15-60,All,AMR1560A45,15,60,24,No
45,Antigua and Barbuda,2012,203,Mortality rate,per 1k pop,15-60,Male,AMR1560A46,15,60,28,No
46,Antigua and Barbuda,2012,147,Mortality rate,per 1k pop,15-60,Female,AMR1560A47,15,60,28,No
47,Antigua and Barbuda,2012,175,Mortality rate,per 1k pop,15-60,All,AMR1560A48,15,60,28,No
48,Antigua and Barbuda,2000,203,Mortality rate,per 1k pop,15-60,Male,AMR1560A49,15,60,28,No
49,Antigua and Barbuda,2000,148,Mortality rate,per 1k pop,15-60,Female,AMR1560A50,15,60,28,No
50,Antigua and Barbuda,2000,176,Mortality rate,per 1k pop,15-60,All,AMR1560A51,15,60,28,No
51,Antigua and Barbuda,1990,205,Mortality rate,per 1k pop,15-60,Male,AMR1560A52,15,60,28,No
52,Antigua and Barbuda,1990,143,Mortality rate,per 1k pop,15-60,Female,AMR1560A53,15,60,28,No
53,Antigua and Barbuda,1990,174,Mortality rate,per 1k pop,15-60,All,AMR1560A54,15,60,28,No
54,Argentina,2012,152,Mortality rate,per 1k pop,15-60,Male,AMR1560A55,15,60,32,No
55,Argentina,2012,84,Mortality rate,per 1k pop,15-60,Female,AMR1560A56,15,60,32,No
56,Argentina,2012,118,Mortality rate,per 1k pop,15-60,All,AMR1560A57,15,60,32,No
57,Argentina,2000,179,Mortality rate,per 1k pop,15-60,Male,AMR1560A58,15,60,32,No
58,Argentina,2000,92,Mortality rate,per 1k pop,15-60,Female,AMR1560A59,15,60,32,No
59,Argentina,2000,136,Mortality rate,per 1k pop,15-60,All,AMR1560A60,15,60,32,No
60,Argentina,1990,198,Mortality rate,per 1k pop,15-60,Male,AMR1560A61,15,60,32,No
61,Argentina,1990,103,Mortality rate,per 1k pop,15-60,Female,AMR1560A62,15,60,32,No
62,Argentina,1990,150,Mortality rate,per 1k pop,15-60,All,AMR1560A63,15,60,32,No
63,Armenia,2012,228,Mortality rate,per 1k pop,15-60,Male,AMR1560A64,15,60,51,No
64,Armenia,2012,96,Mortality rate,per 1k pop,15-60,Female,AMR1560A65,15,60,51,No
65,Armenia,2012,163,Mortality rate,per 1k pop,15-60,All,AMR1560A66,15,60,51,No
66,Armenia,2000,210,Mortality rate,per 1k pop,15-60,Male,AMR1560A67,15,60,51,No
67,Armenia,2000,96,Mortality rate,per 1k pop,15-60,Female,AMR1560A68,15,60,51,No
68,Armenia,2000,149,Mortality rate,per 1k pop,15-60,All,AMR1560A69,15,60,51,No
69,Armenia,1990,280,Mortality rate,per 1k pop,15-60,Male,AMR1560A70,15,60,51,No
70,Armenia,1990,135,Mortality rate,per 1k pop,15-60,Female,AMR1560A71,15,60,51,No
71,Armenia,1990,208,Mortality rate,per 1k pop,15-60,All,AMR1560A72,15,60,51,No
72,Australia,2012,75,Mortality rate,per 1k pop,15-60,Male,AMR1560A73,15,60,36,No
73,Australia,2012,44,Mortality rate,per 1k pop,15-60,Female,AMR1560A74,15,60,36,No
74,Australia,2012,60,Mortality rate,per 1k pop,15-60,All,AMR1560A75,15,60,36,No
75,Australia,2000,97,Mortality rate,per 1k pop,15-60,Male,AMR1560A76,15,60,36,No
76,Australia,2000,55,Mortality rate,per 1k pop,15-60,Female,AMR1560A77,15,60,36,No
77,Australia,2000,77,Mortality rate,per 1k pop,15-60,All,AMR1560A78,15,60,36,No
78,Australia,1990,124,Mortality rate,per 1k pop,15-60,Male,AMR1560A79,15,60,36,No
79,Australia,1990,66,Mortality rate,per 1k pop,15-60,Female,AMR1560A80,15,60,36,No
80,Australia,1990,96,Mortality rate,per 1k pop,15-60,All,AMR1560A81,15,60,36,No
81,Austria,2012,91,Mortality rate,per 1k pop,15-60,Male,AMR1560A82,15,60,40,No
82,Austria,2012,47,Mortality rate,per 1k pop,15-60,Female,AMR1560A83,15,60,40,No
83,Austria,2012,69,Mortality rate,per 1k pop,15-60,All,AMR1560A84,15,60,40,No
84,Austria,2000,126,Mortality rate,per 1k pop,15-60,Male,AMR1560A85,15,60,40,No
85,Austria,2000,63,Mortality rate,per 1k pop,15-60,Female,AMR1560A86,15,60,40,No
86,Austria,2000,95,Mortality rate,per 1k pop,15-60,All,AMR1560A87,15,60,40,No
87,Austria,1990,154,Mortality rate,per 1k pop,15-60,Male,AMR1560A88,15,60,40,No
88,Austria,1990,74,Mortality rate,per 1k pop,15-60,Female,AMR1560A89,15,60,40,No
89,Austria,1990,114,Mortality rate,per 1k pop,15-60,All,AMR1560A90,15,60,40,No
90,Azerbaijan,2012,169,Mortality rate,per 1k pop,15-60,Male,AMR1560A91,15,60,31,No
91,Azerbaijan,2012,82,Mortality rate,per 1k pop,15-60,Female,AMR1560A92,15,60,31,No
92,Azerbaijan,2012,125,Mortality rate,per 1k pop,15-60,All,AMR1560A93,15,60,31,No
93,Azerbaijan,2000,232,Mortality rate,per 1k pop,15-60,Male,AMR1560A94,15,60,31,No
94,Azerbaijan,2000,122,Mortality rate,per 1k pop,15-60,Female,AMR1560A95,15,60,31,No
95,Azerbaijan,2000,176,Mortality rate,per 1k pop,15-60,All,AMR1560A96,15,60,31,No
96,Azerbaijan,1990,289,Mortality rate,per 1k pop,15-60,Male,AMR1560A97,15,60,31,No
