,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,-2.4,Annual Population Growth Rate,Percent,All,All,APGR1,0,130,4,No
1,Albania,2012,-0.3,Annual Population Growth Rate,Percent,All,All,APGR2,0,130,8,No
2,Algeria,2012,-1.9,Annual Population Growth Rate,Percent,All,All,APGR3,0,130,12,No
3,Andorra,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR4,0,130,20,No
4,Angola,2012,-3.1,Annual Population Growth Rate,Percent,All,All,APGR5,0,130,24,No
5,Antigua and Barbuda,2012,-1.1,Annual Population Growth Rate,Percent,All,All,APGR6,0,130,28,No
6,Argentina,2012,-0.9,Annual Population Growth Rate,Percent,All,All,APGR7,0,130,32,No
7,Armenia,2012,-0.2,Annual Population Growth Rate,Percent,All,All,APGR8,0,130,51,No
8,Australia,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR9,0,130,36,No
9,Austria,2012,-0.4,Annual Population Growth Rate,Percent,All,All,APGR10,0,130,40,No
10,Azerbaijan,2012,-1.2,Annual Population Growth Rate,Percent,All,All,APGR11,0,130,31,No
11,Bahamas,2012,-1.6,Annual Population Growth Rate,Percent,All,All,APGR12,0,130,44,No
12,Bahrain,2012,-1.9,Annual Population Growth Rate,Percent,All,All,APGR13,0,130,48,No
13,Bangladesh,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR14,0,130,50,No
14,Barbados,2012,-0.4,Annual Population Growth Rate,Percent,All,All,APGR15,0,130,52,No
15,Belarus,2012,0.5,Annual Population Growth Rate,Percent,All,All,APGR16,0,130,112,No
16,Belgium,2012,-0.5,Annual Population Growth Rate,Percent,All,All,APGR17,0,130,56,No
17,Belize,2012,-2.5,Annual Population Growth Rate,Percent,All,All,APGR18,0,130,84,No
18,Benin,2012,-2.7,Annual Population Growth Rate,Percent,All,All,APGR19,0,130,204,No
19,Bhutan,2012,-1.8,Annual Population Growth Rate,Percent,All,All,APGR20,0,130,64,No
20,Bolivia (Plurinational State of),2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR21,0,130,68,No
21,Bosnia and Herzegovina,2012,0.1,Annual Population Growth Rate,Percent,All,All,APGR22,0,130,70,No
22,Botswana,2012,-0.9,Annual Population Growth Rate,Percent,All,All,APGR23,0,130,72,No
23,Brazil,2012,-1.0,Annual Population Growth Rate,Percent,All,All,APGR24,0,130,76,No
24,Brunei Darussalam,2012,-1.2,Annual Population Growth Rate,Percent,All,All,APGR25,0,130,96,No
25,Bulgaria,2012,0.8,Annual Population Growth Rate,Percent,All,All,APGR26,0,130,100,No
26,Burkina Faso,2012,-2.9,Annual Population Growth Rate,Percent,All,All,APGR27,0,130,854,No
27,Burundi,2012,-3.2,Annual Population Growth Rate,Percent,All,All,APGR28,0,130,108,No
28,Cabo Verde,2012,-0.6,Annual Population Growth Rate,Percent,All,All,APGR29,0,130,132,No
29,Cambodia,2012,-1.8,Annual Population Growth Rate,Percent,All,All,APGR30,0,130,116,No
30,Cameroon,2012,-2.5,Annual Population Growth Rate,Percent,All,All,APGR31,0,130,120,No
31,Canada,2012,-1.0,Annual Population Growth Rate,Percent,All,All,APGR32,0,130,124,No
32,Central African Republic,2012,-2.0,Annual Population Growth Rate,Percent,All,All,APGR33,0,130,140,No
33,Chad,2012,-3.0,Annual Population Growth Rate,Percent,All,All,APGR34,0,130,148,No
34,Chile,2012,-0.9,Annual Population Growth Rate,Percent,All,All,APGR35,0,130,152,No
35,China,2012,-0.7,Annual Population Growth Rate,Percent,All,All,APGR36,0,130,156,No
36,Colombia,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR37,0,130,170,No
37,Comoros,2012,-2.5,Annual Population Growth Rate,Percent,All,All,APGR38,0,130,174,No
38,Congo,2012,-2.6,Annual Population Growth Rate,Percent,All,All,APGR39,0,130,178,No
39,Cook Islands,2012,-4.9,Annual Population Growth Rate,Percent,All,All,APGR40,0,130,184,No
40,Costa Rica,2012,-1.4,Annual Population Growth Rate,Percent,All,All,APGR41,0,130,188,No
41,Côte dIvoire,2012,-2.3,Annual Population Growth Rate,Percent,All,All,APGR42,0,130,384,No
42,Croatia,2012,0.4,Annual Population Growth Rate,Percent,All,All,APGR43,0,130,191,No
43,Cuba,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR44,0,130,192,No
44,Cyprus,2012,-1.1,Annual Population Growth Rate,Percent,All,All,APGR45,0,130,196,No
45,Czech Republic,2012,-0.5,Annual Population Growth Rate,Percent,All,All,APGR46,0,130,203,No
46,Democratic Peoples Republic of Korea,2012,-0.5,Annual Population Growth Rate,Percent,All,All,APGR47,0,130,408,No
47,Democratic Republic of the Congo,2012,-2.7,Annual Population Growth Rate,Percent,All,All,APGR48,0,130,180,No
48,Denmark,2012,-0.4,Annual Population Growth Rate,Percent,All,All,APGR49,0,130,208,No
49,Djibouti,2012,-1.5,Annual Population Growth Rate,Percent,All,All,APGR50,0,130,262,No
50,Dominica,2012,-1.4,Annual Population Growth Rate,Percent,All,All,APGR51,0,130,212,No
51,Dominican Republic,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR52,0,130,214,No
52,Ecuador,2012,-1.6,Annual Population Growth Rate,Percent,All,All,APGR53,0,130,218,No
53,Egypt,2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR54,0,130,818,No
54,El Salvador,2012,-0.7,Annual Population Growth Rate,Percent,All,All,APGR55,0,130,222,No
55,Equatorial Guinea,2012,-2.8,Annual Population Growth Rate,Percent,All,All,APGR56,0,130,226,No
56,Eritrea,2012,-3.3,Annual Population Growth Rate,Percent,All,All,APGR57,0,130,232,No
57,Estonia,2012,0.2,Annual Population Growth Rate,Percent,All,All,APGR58,0,130,233,No
58,Ethiopia,2012,-2.6,Annual Population Growth Rate,Percent,All,All,APGR59,0,130,231,No
59,Ethiopia,2012,-2.6,Annual Population Growth Rate,Percent,All,All,APGR59,0,130,230,No
60,Fiji,2012,-0.8,Annual Population Growth Rate,Percent,All,All,APGR60,0,130,242,No
61,Finland,2012,-0.4,Annual Population Growth Rate,Percent,All,All,APGR61,0,130,246,No
62,France,2012,-0.6,Annual Population Growth Rate,Percent,All,All,APGR62,0,130,250,No
63,Gabon,2012,-2.4,Annual Population Growth Rate,Percent,All,All,APGR63,0,130,266,No
64,Gambia,2012,-3.2,Annual Population Growth Rate,Percent,All,All,APGR64,0,130,270,No
65,Georgia,2012,0.4,Annual Population Growth Rate,Percent,All,All,APGR65,0,130,268,No
66,Germany,2012,0.1,Annual Population Growth Rate,Percent,All,All,APGR66,0,130,276,No
67,Ghana,2012,-2.2,Annual Population Growth Rate,Percent,All,All,APGR67,0,130,288,No
68,Greece,2012,-0.1,Annual Population Growth Rate,Percent,All,All,APGR68,0,130,300,No
69,Grenada,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR69,0,130,308,No
70,Guatemala,2012,-2.5,Annual Population Growth Rate,Percent,All,All,APGR70,0,130,320,No
71,Guinea,2012,-2.6,Annual Population Growth Rate,Percent,All,All,APGR71,0,130,324,No
72,Guinea-Bissau,2012,-2.4,Annual Population Growth Rate,Percent,All,All,APGR72,0,130,624,No
73,Guyana,2012,-0.5,Annual Population Growth Rate,Percent,All,All,APGR73,0,130,328,No
74,Haiti,2012,-1.4,Annual Population Growth Rate,Percent,All,All,APGR74,0,130,332,No
75,Honduras,2012,-2.0,Annual Population Growth Rate,Percent,All,All,APGR75,0,130,340,No
76,Hungary,2012,0.2,Annual Population Growth Rate,Percent,All,All,APGR76,0,130,348,No
77,Iceland,2012,-1.2,Annual Population Growth Rate,Percent,All,All,APGR77,0,130,352,No
78,India,2012,-1.6,Annual Population Growth Rate,Percent,All,All,APGR78,0,130,356,No
79,Indonesia,2012,-1.2,Annual Population Growth Rate,Percent,All,All,APGR79,0,130,360,No
80,Iran (Islamic Republic of),2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR80,0,130,364,No
81,Iraq,2012,-2.9,Annual Population Growth Rate,Percent,All,All,APGR81,0,130,368,No
82,Ireland,2012,-1.2,Annual Population Growth Rate,Percent,All,All,APGR82,0,130,372,No
83,Israel,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR83,0,130,376,No
84,Italy,2012,-0.3,Annual Population Growth Rate,Percent,All,All,APGR84,0,130,380,No
85,Jamaica,2012,-0.5,Annual Population Growth Rate,Percent,All,All,APGR85,0,130,388,No
86,Japan,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR86,0,130,392,No
87,Japan,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR86,0,130,392,No
88,Jordan,2012,-4.0,Annual Population Growth Rate,Percent,All,All,APGR87,0,130,400,No
89,Kazakhstan,2012,-1.1,Annual Population Growth Rate,Percent,All,All,APGR88,0,130,398,No
90,Kenya,2012,-2.7,Annual Population Growth Rate,Percent,All,All,APGR89,0,130,404,No
91,Kiribati,2012,-2.0,Annual Population Growth Rate,Percent,All,All,APGR90,0,130,296,No
92,Kuwait,2012,-3.9,Annual Population Growth Rate,Percent,All,All,APGR91,0,130,414,No
93,Kyrgyzstan,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR92,0,130,417,No
94,Lao Peoples Democratic Republic,2012,-1.9,Annual Population Growth Rate,Percent,All,All,APGR93,0,130,418,No
95,Latvia,2012,0.6,Annual Population Growth Rate,Percent,All,All,APGR94,0,130,428,No
96,Lebanon,2012,-3.7,Annual Population Growth Rate,Percent,All,All,APGR95,0,130,422,No
97,Lesotho,2012,-1.1,Annual Population Growth Rate,Percent,All,All,APGR96,0,130,426,No
98,Liberia,2012,-2.7,Annual Population Growth Rate,Percent,All,All,APGR97,0,130,430,No
99,Libya,2012,-0.8,Annual Population Growth Rate,Percent,All,All,APGR98,0,130,434,No
100,Lithuania,2012,0.5,Annual Population Growth Rate,Percent,All,All,APGR99,0,130,440,No
101,Luxembourg,2012,-1.5,Annual Population Growth Rate,Percent,All,All,APGR100,0,130,442,No
102,Madagascar,2012,-2.8,Annual Population Growth Rate,Percent,All,All,APGR101,0,130,450,No
103,Malawi,2012,-2.9,Annual Population Growth Rate,Percent,All,All,APGR102,0,130,454,No
104,Malaysia,2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR103,0,130,458,No
105,Maldives,2012,-1.8,Annual Population Growth Rate,Percent,All,All,APGR104,0,130,462,No
106,Mali,2012,-3.0,Annual Population Growth Rate,Percent,All,All,APGR105,0,130,466,No
107,Malta,2012,-0.5,Annual Population Growth Rate,Percent,All,All,APGR106,0,130,470,No
108,Marshall Islands,2012,-1.9,Annual Population Growth Rate,Percent,All,All,APGR107,0,130,584,No
109,Mauritania,2012,-2.5,Annual Population Growth Rate,Percent,All,All,APGR108,0,130,478,No
110,Mauritius,2012,-0.4,Annual Population Growth Rate,Percent,All,All,APGR109,0,130,480,No
111,Mexico,2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR110,0,130,484,No
112,Micronesia (Federated States of),2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR111,0,130,583,No
113,Monaco,2012,-2.7,Annual Population Growth Rate,Percent,All,All,APGR112,0,130,492,No
114,Mongolia,2012,-1.5,Annual Population Growth Rate,Percent,All,All,APGR113,0,130,496,No
115,Montenegro,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR114,0,130,499,No
116,Morocco,2012,-1.4,Annual Population Growth Rate,Percent,All,All,APGR115,0,130,504,No
117,Mozambique,2012,-2.5,Annual Population Growth Rate,Percent,All,All,APGR116,0,130,508,No
118,Myanmar,2012,-0.8,Annual Population Growth Rate,Percent,All,All,APGR117,0,130,104,No
119,Namibia,2012,-1.8,Annual Population Growth Rate,Percent,All,All,APGR118,0,130,516,No
120,Nauru,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR119,0,130,520,No
121,Nepal,2012,-1.2,Annual Population Growth Rate,Percent,All,All,APGR120,0,130,524,No
122,Netherlands,2012,-0.3,Annual Population Growth Rate,Percent,All,All,APGR121,0,130,528,No
123,New Zealand,2012,-1.0,Annual Population Growth Rate,Percent,All,All,APGR122,0,130,554,No
124,New Zealand,2012,-1.0,Annual Population Growth Rate,Percent,All,All,APGR122,0,130,554,No
125,Nicaragua,2012,-1.5,Annual Population Growth Rate,Percent,All,All,APGR123,0,130,558,No
126,Niger,2012,-3.8,Annual Population Growth Rate,Percent,All,All,APGR124,0,130,562,No
127,Nigeria,2012,-3.0,Annual Population Growth Rate,Percent,All,All,APGR125,0,130,566,No
128,Niue,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR126,0,130,570,No
129,Norway,2012,-1.0,Annual Population Growth Rate,Percent,All,All,APGR127,0,130,578,No
130,Oman,2012,-9.1,Annual Population Growth Rate,Percent,All,All,APGR128,0,130,512,No
131,Pakistan,2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR129,0,130,586,No
132,Palau,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR130,0,130,585,No
133,Panama,2012,-1.6,Annual Population Growth Rate,Percent,All,All,APGR131,0,130,591,No
134,Panama,2012,-1.6,Annual Population Growth Rate,Percent,All,All,APGR131,0,130,590,No
135,Papua New Guinea,2012,-2.2,Annual Population Growth Rate,Percent,All,All,APGR132,0,130,598,No
136,Paraguay,2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR133,0,130,600,No
137,Peru,2012,-1.3,Annual Population Growth Rate,Percent,All,All,APGR134,0,130,604,No
138,Philippines,2012,-1.7,Annual Population Growth Rate,Percent,All,All,APGR135,0,130,608,No
139,Poland,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR136,0,130,616,No
140,Portugal,2012,-0.1,Annual Population Growth Rate,Percent,All,All,APGR137,0,130,620,No
141,Qatar,2012,-7.1,Annual Population Growth Rate,Percent,All,All,APGR138,0,130,634,No
142,Republic of Korea,2012,-0.6,Annual Population Growth Rate,Percent,All,All,APGR139,0,130,410,No
143,Republic of Moldova,2012,0.8,Annual Population Growth Rate,Percent,All,All,APGR140,0,130,498,No
144,Romania,2012,0.2,Annual Population Growth Rate,Percent,All,All,APGR141,0,130,642,No
145,Russian Federation,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR142,0,130,643,No
146,Rwanda,2012,-2.8,Annual Population Growth Rate,Percent,All,All,APGR143,0,130,646,No
147,Saint Kitts and Nevis,2012,-1.9,Annual Population Growth Rate,Percent,All,All,APGR144,0,130,659,No
148,Saint Lucia,2012,-1.1,Annual Population Growth Rate,Percent,All,All,APGR145,0,130,662,No
149,Saint Vincent and the Grenadines,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR146,0,130,670,No
150,Samoa,2012,-1.1,Annual Population Growth Rate,Percent,All,All,APGR147,0,130,882,No
151,San Marino,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR148,0,130,674,No
152,Sao Tome and Principe,2012,-2.7,Annual Population Growth Rate,Percent,All,All,APGR149,0,130,678,No
153,Saudi Arabia,2012,-1.9,Annual Population Growth Rate,Percent,All,All,APGR150,0,130,682,No
154,Senegal,2012,-2.9,Annual Population Growth Rate,Percent,All,All,APGR151,0,130,686,No
155,Serbia,2012,0.5,Annual Population Growth Rate,Percent,All,All,APGR152,0,130,688,No
156,Seychelles,2012,0.0,Annual Population Growth Rate,Percent,All,All,APGR153,0,130,690,No
