,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,75,BCG Immunization,Percent,1,All,BCGI1YO1,1,1,4,No
1,Afghanistan,2011,71,BCG Immunization,Percent,1,All,BCGI1YO2,1,1,4,No
2,Afghanistan,2010,68,BCG Immunization,Percent,1,All,BCGI1YO3,1,1,4,No
3,Afghanistan,2009,64,BCG Immunization,Percent,1,All,BCGI1YO4,1,1,4,No
4,Afghanistan,2008,66,BCG Immunization,Percent,1,All,BCGI1YO5,1,1,4,No
5,Afghanistan,2007,60,BCG Immunization,Percent,1,All,BCGI1YO6,1,1,4,No
6,Afghanistan,2006,60,BCG Immunization,Percent,1,All,BCGI1YO7,1,1,4,No
7,Afghanistan,2005,57,BCG Immunization,Percent,1,All,BCGI1YO8,1,1,4,No
8,Afghanistan,2004,51,BCG Immunization,Percent,1,All,BCGI1YO9,1,1,4,No
9,Afghanistan,2003,44,BCG Immunization,Percent,1,All,BCGI1YO10,1,1,4,No
10,Afghanistan,2002,46,BCG Immunization,Percent,1,All,BCGI1YO11,1,1,4,No
11,Afghanistan,2001,43,BCG Immunization,Percent,1,All,BCGI1YO12,1,1,4,No
12,Afghanistan,2000,30,BCG Immunization,Percent,1,All,BCGI1YO13,1,1,4,No
13,Afghanistan,1999,38,BCG Immunization,Percent,1,All,BCGI1YO14,1,1,4,No
14,Afghanistan,1998,35,BCG Immunization,Percent,1,All,BCGI1YO15,1,1,4,No
15,Afghanistan,1997,43,BCG Immunization,Percent,1,All,BCGI1YO16,1,1,4,No
16,Afghanistan,1996,47,BCG Immunization,Percent,1,All,BCGI1YO17,1,1,4,No
17,Afghanistan,1995,31,BCG Immunization,Percent,1,All,BCGI1YO18,1,1,4,No
18,Afghanistan,1994,15,BCG Immunization,Percent,1,All,BCGI1YO19,1,1,4,No
19,Afghanistan,1993,17,BCG Immunization,Percent,1,All,BCGI1YO20,1,1,4,No
20,Afghanistan,1992,19,BCG Immunization,Percent,1,All,BCGI1YO21,1,1,4,No
21,Afghanistan,1991,21,BCG Immunization,Percent,1,All,BCGI1YO22,1,1,4,No
22,Afghanistan,1990,30,BCG Immunization,Percent,1,All,BCGI1YO23,1,1,4,No
23,Afghanistan,1989,38,BCG Immunization,Percent,1,All,BCGI1YO24,1,1,4,No
24,Afghanistan,1988,40,BCG Immunization,Percent,1,All,BCGI1YO25,1,1,4,No
25,Afghanistan,1987,27,BCG Immunization,Percent,1,All,BCGI1YO26,1,1,4,No
26,Afghanistan,1986,18,BCG Immunization,Percent,1,All,BCGI1YO27,1,1,4,No
27,Afghanistan,1985,17,BCG Immunization,Percent,1,All,BCGI1YO28,1,1,4,No
28,Afghanistan,1984,11,BCG Immunization,Percent,1,All,BCGI1YO29,1,1,4,No
29,Afghanistan,1983,10,BCG Immunization,Percent,1,All,BCGI1YO30,1,1,4,No
30,Afghanistan,1982,10,BCG Immunization,Percent,1,All,BCGI1YO31,1,1,4,No
31,Afghanistan,1981,0,BCG Immunization,Percent,1,All,BCGI1YO32,1,1,4,No
32,Afghanistan,1980,0,BCG Immunization,Percent,1,All,BCGI1YO33,1,1,4,No
33,Albania,2012,99,BCG Immunization,Percent,1,All,BCGI1YO34,1,1,8,No
34,Albania,2011,99,BCG Immunization,Percent,1,All,BCGI1YO35,1,1,8,No
35,Albania,2010,99,BCG Immunization,Percent,1,All,BCGI1YO36,1,1,8,No
36,Albania,2009,97,BCG Immunization,Percent,1,All,BCGI1YO37,1,1,8,No
37,Albania,2008,99,BCG Immunization,Percent,1,All,BCGI1YO38,1,1,8,No
38,Albania,2007,98,BCG Immunization,Percent,1,All,BCGI1YO39,1,1,8,No
39,Albania,2006,97,BCG Immunization,Percent,1,All,BCGI1YO40,1,1,8,No
40,Albania,2005,98,BCG Immunization,Percent,1,All,BCGI1YO41,1,1,8,No
41,Albania,2004,97,BCG Immunization,Percent,1,All,BCGI1YO42,1,1,8,No
42,Albania,2003,95,BCG Immunization,Percent,1,All,BCGI1YO43,1,1,8,No
43,Albania,2002,94,BCG Immunization,Percent,1,All,BCGI1YO44,1,1,8,No
44,Albania,2001,93,BCG Immunization,Percent,1,All,BCGI1YO45,1,1,8,No
45,Albania,2000,93,BCG Immunization,Percent,1,All,BCGI1YO46,1,1,8,No
46,Albania,1999,93,BCG Immunization,Percent,1,All,BCGI1YO47,1,1,8,No
47,Albania,1998,87,BCG Immunization,Percent,1,All,BCGI1YO48,1,1,8,No
48,Albania,1997,94,BCG Immunization,Percent,1,All,BCGI1YO49,1,1,8,No
49,Albania,1996,94,BCG Immunization,Percent,1,All,BCGI1YO50,1,1,8,No
50,Albania,1995,97,BCG Immunization,Percent,1,All,BCGI1YO51,1,1,8,No
51,Albania,1994,87,BCG Immunization,Percent,1,All,BCGI1YO52,1,1,8,No
52,Albania,1993,82,BCG Immunization,Percent,1,All,BCGI1YO53,1,1,8,No
53,Albania,1992,81,BCG Immunization,Percent,1,All,BCGI1YO54,1,1,8,No
54,Albania,1991,80,BCG Immunization,Percent,1,All,BCGI1YO55,1,1,8,No
55,Albania,1990,94,BCG Immunization,Percent,1,All,BCGI1YO56,1,1,8,No
56,Albania,1989,94,BCG Immunization,Percent,1,All,BCGI1YO57,1,1,8,No
57,Albania,1988,92,BCG Immunization,Percent,1,All,BCGI1YO58,1,1,8,No
58,Albania,1987,92,BCG Immunization,Percent,1,All,BCGI1YO59,1,1,8,No
59,Albania,1986,92,BCG Immunization,Percent,1,All,BCGI1YO60,1,1,8,No
60,Albania,1985,92,BCG Immunization,Percent,1,All,BCGI1YO61,1,1,8,No
61,Albania,1984,90,BCG Immunization,Percent,1,All,BCGI1YO62,1,1,8,No
62,Albania,1983,90,BCG Immunization,Percent,1,All,BCGI1YO63,1,1,8,No
63,Albania,1982,92,BCG Immunization,Percent,1,All,BCGI1YO64,1,1,8,No
64,Albania,1981,93,BCG Immunization,Percent,1,All,BCGI1YO65,1,1,8,No
65,Albania,1980,93,BCG Immunization,Percent,1,All,BCGI1YO66,1,1,8,No
66,Algeria,2012,99,BCG Immunization,Percent,1,All,BCGI1YO67,1,1,12,No
67,Algeria,2011,99,BCG Immunization,Percent,1,All,BCGI1YO68,1,1,12,No
68,Algeria,2010,99,BCG Immunization,Percent,1,All,BCGI1YO69,1,1,12,No
69,Algeria,2009,99,BCG Immunization,Percent,1,All,BCGI1YO70,1,1,12,No
70,Algeria,2008,99,BCG Immunization,Percent,1,All,BCGI1YO71,1,1,12,No
71,Algeria,2007,99,BCG Immunization,Percent,1,All,BCGI1YO72,1,1,12,No
72,Algeria,2006,99,BCG Immunization,Percent,1,All,BCGI1YO73,1,1,12,No
73,Algeria,2005,98,BCG Immunization,Percent,1,All,BCGI1YO74,1,1,12,No
74,Algeria,2004,98,BCG Immunization,Percent,1,All,BCGI1YO75,1,1,12,No
75,Algeria,2003,98,BCG Immunization,Percent,1,All,BCGI1YO76,1,1,12,No
