,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,3.6,Births by Caesarean Section,Percent,All,All,BBCS1,0,130,4,No
1,Albania,2009,18.7,Births by Caesarean Section,Percent,All,All,BBCS2,0,130,8,No
2,Argentina,2006,22.7,Births by Caesarean Section,Percent,All,All,BBCS3,0,130,32,No
3,Armenia,2010,12.5,Births by Caesarean Section,Percent,All,All,BBCS4,0,130,51,No
4,Australia,2010,31.6,Births by Caesarean Section,Percent,All,All,BBCS5,0,130,36,No
5,Australia,2009,31.5,Births by Caesarean Section,Percent,All,All,BBCS6,0,130,36,No
6,Austria,2011,29,Births by Caesarean Section,Percent,All,All,BBCS7,0,130,40,No
7,Azerbaijan,2012,20.5,Births by Caesarean Section,Percent,All,All,BBCS8,0,130,31,No
8,Azerbaijan,2006,4.7,Births by Caesarean Section,Percent,All,All,BBCS9,0,130,31,No
9,Bahrain,2011,30,Births by Caesarean Section,Percent,All,All,BBCS10,0,130,48,No
10,Bahrain,2010,26.8,Births by Caesarean Section,Percent,All,All,BBCS11,0,130,48,No
11,Bangladesh,2011,17.1,Births by Caesarean Section,Percent,All,All,BBCS12,0,130,50,No
12,Belarus,2011,24,Births by Caesarean Section,Percent,All,All,BBCS13,0,130,112,No
13,Belarus,2010,23,Births by Caesarean Section,Percent,All,All,BBCS14,0,130,112,No
14,Belgium,2009,19.8,Births by Caesarean Section,Percent,All,All,BBCS15,0,130,56,No
15,Belgium,2008,20.3,Births by Caesarean Section,Percent,All,All,BBCS16,0,130,56,No
16,Belize,2011,28.1,Births by Caesarean Section,Percent,All,All,BBCS17,0,130,84,No
17,Benin,2006,3.6,Births by Caesarean Section,Percent,All,All,BBCS18,0,130,204,No
18,Bhutan,2010,12.4,Births by Caesarean Section,Percent,All,All,BBCS19,0,130,64,No
19,Bolivia (Plurinational State of),2008,18.6,Births by Caesarean Section,Percent,All,All,BBCS20,0,130,68,No
20,Bosnia and Herzegovina,2012,13.9,Births by Caesarean Section,Percent,All,All,BBCS21,0,130,70,No
21,Bosnia and Herzegovina,2010,15,Births by Caesarean Section,Percent,All,All,BBCS22,0,130,70,No
22,Brazil,2011,53.7,Births by Caesarean Section,Percent,All,All,BBCS23,0,130,76,No
23,Brazil,2010,52.3,Births by Caesarean Section,Percent,All,All,BBCS24,0,130,76,No
24,Bulgaria,2011,33.1,Births by Caesarean Section,Percent,All,All,BBCS25,0,130,100,No
25,Bulgaria,2010,31,Births by Caesarean Section,Percent,All,All,BBCS26,0,130,100,No
26,Burkina Faso,2010,1.9,Births by Caesarean Section,Percent,All,All,BBCS27,0,130,854,No
27,Burundi,2010,4,Births by Caesarean Section,Percent,All,All,BBCS28,0,130,108,No
28,Cabo Verde,2005,10.7,Births by Caesarean Section,Percent,All,All,BBCS29,0,130,132,No
29,Cambodia,2010,3,Births by Caesarean Section,Percent,All,All,BBCS30,0,130,116,No
30,Cameroon,2011,3.8,Births by Caesarean Section,Percent,All,All,BBCS31,0,130,120,No
31,Canada,2011,26.9,Births by Caesarean Section,Percent,All,All,BBCS32,0,130,124,No
