,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2004,60.0,Stunted children,Percent,5,Male,STCH5Y1,5,5,4,No
1,Afghanistan,2004,58.5,Stunted children,Percent,5,Female,STCH5Y2,5,5,4,No
2,Afghanistan,2004,59.3,Stunted children,Percent,5,All,STCH5Y3,5,5,4,No
3,Afghanistan,1997,53.2,Stunted children,Percent,5,All,STCH5Y4,5,5,4,No
4,Albania,2009,22.8,Stunted children,Percent,5,Male,STCH5Y5,5,5,8,No
5,Albania,2009,23.4,Stunted children,Percent,5,Female,STCH5Y6,5,5,8,No
6,Albania,2009,23.1,Stunted children,Percent,5,All,STCH5Y7,5,5,8,No
7,Albania,2005,29.6,Stunted children,Percent,5,Male,STCH5Y8,5,5,8,No
8,Albania,2005,23.8,Stunted children,Percent,5,Female,STCH5Y9,5,5,8,No
9,Albania,2005,27.0,Stunted children,Percent,5,All,STCH5Y10,5,5,8,No
10,Albania,2000,40.4,Stunted children,Percent,5,Male,STCH5Y11,5,5,8,No
11,Albania,2000,38.1,Stunted children,Percent,5,Female,STCH5Y12,5,5,8,No
12,Albania,2000,39.2,Stunted children,Percent,5,All,STCH5Y13,5,5,8,No
13,Albania,1998,20.4,Stunted children,Percent,5,All,STCH5Y14,5,5,8,No
14,Algeria,2005,16.7,Stunted children,Percent,5,Male,STCH5Y15,5,5,12,No
15,Algeria,2005,15.0,Stunted children,Percent,5,Female,STCH5Y16,5,5,12,No
16,Algeria,2005,15.9,Stunted children,Percent,5,All,STCH5Y17,5,5,12,No
17,Algeria,2002,25.1,Stunted children,Percent,5,Male,STCH5Y18,5,5,12,No
18,Algeria,2002,21.5,Stunted children,Percent,5,Female,STCH5Y19,5,5,12,No
19,Algeria,2002,23.3,Stunted children,Percent,5,All,STCH5Y20,5,5,12,No
20,Algeria,2000,24.9,Stunted children,Percent,5,Male,STCH5Y21,5,5,12,No
21,Algeria,2000,22.2,Stunted children,Percent,5,Female,STCH5Y22,5,5,12,No
22,Algeria,2000,23.6,Stunted children,Percent,5,All,STCH5Y23,5,5,12,No
