,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2004,32.7,Underweight children,Percent,5,Male,UNDCH5Y1,5,5,4,No
1,Afghanistan,2004,33.0,Underweight children,Percent,5,Female,UNDCH5Y2,5,5,4,No
2,Afghanistan,2004,32.9,Underweight children,Percent,5,All,UNDCH5Y3,5,5,4,No
3,Afghanistan,1997,44.9,Underweight children,Percent,5,All,UNDCH5Y4,5,5,4,No
4,Albania,2009,6.6,Underweight children,Percent,5,Male,UNDCH5Y5,5,5,8,No
5,Albania,2009,6.0,Underweight children,Percent,5,Female,UNDCH5Y6,5,5,8,No
6,Albania,2009,6.3,Underweight children,Percent,5,All,UNDCH5Y7,5,5,8,No
7,Albania,2005,7.3,Underweight children,Percent,5,Male,UNDCH5Y8,5,5,8,No
8,Albania,2005,5.8,Underweight children,Percent,5,Female,UNDCH5Y9,5,5,8,No
9,Albania,2005,6.6,Underweight children,Percent,5,All,UNDCH5Y10,5,5,8,No
10,Albania,2000,19.6,Underweight children,Percent,5,Male,UNDCH5Y11,5,5,8,No
11,Albania,2000,14.2,Underweight children,Percent,5,Female,UNDCH5Y12,5,5,8,No
12,Albania,2000,17.0,Underweight children,Percent,5,All,UNDCH5Y13,5,5,8,No
13,Albania,1998,7.1,Underweight children,Percent,5,All,UNDCH5Y14,5,5,8,No
14,Algeria,2005,3.7,Underweight children,Percent,5,Male,UNDCH5Y15,5,5,12,No
15,Algeria,2005,3.7,Underweight children,Percent,5,Female,UNDCH5Y16,5,5,12,No
16,Algeria,2005,3.7,Underweight children,Percent,5,All,UNDCH5Y17,5,5,12,No
17,Algeria,2002,12.7,Underweight children,Percent,5,Male,UNDCH5Y18,5,5,12,No
18,Algeria,2002,9.6,Underweight children,Percent,5,Female,UNDCH5Y19,5,5,12,No
19,Algeria,2002,11.1,Underweight children,Percent,5,All,UNDCH5Y20,5,5,12,No
20,Algeria,2000,5.3,Underweight children,Percent,5,Male,UNDCH5Y21,5,5,12,No
21,Algeria,2000,5.6,Underweight children,Percent,5,Female,UNDCH5Y22,5,5,12,No
22,Algeria,2000,5.4,Underweight children,Percent,5,All,UNDCH5Y23,5,5,12,No
23,Algeria,1995,12.2,Underweight children,Percent,5,Male,UNDCH5Y24,5,5,12,No
24,Algeria,1995,10.4,Underweight children,Percent,5,Female,UNDCH5Y25,5,5,12,No
25,Algeria,1995,11.3,Underweight children,Percent,5,All,UNDCH5Y26,5,5,12,No
