,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,63.9,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT1,5,5,4,No
1,Albania,2009,60.0,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT2,5,5,8,No
2,Algeria,2006,59.0,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT3,5,5,12,No
3,Armenia,2010,11.0,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT4,5,5,51,No
4,Bangladesh,2011,71.4,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT5,5,5,50,No
5,Belarus,2005,67.0,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT6,5,5,112,No
6,Belize,2011,70.7,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT7,5,5,84,No
7,Benin,2012,28.9,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT8,5,5,204,No
8,Bhutan,2010,48.7,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT9,5,5,64,No
9,Bolivia (Plurinational State of),2008,63.9,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT10,5,5,68,No
10,Bosnia and Herzegovina,2012,76.0,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT11,5,5,70,No
11,Bosnia and Herzegovina,2006,73.1,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT12,5,5,70,No
12,Burkina Faso,2011,46.8,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT13,5,5,854,No
13,Burkina Faso,2010,46.8,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT14,5,5,854,No
14,Burundi,2010,42.6,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT15,5,5,108,No
15,Cambodia,2010,39.1,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT16,5,5,116,No
16,Cameroon,2011,44.7,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT17,5,5,120,No
17,Central African Republic,2010,31.3,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT18,5,5,140,No
18,Central African Republic,2006,39.4,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT19,5,5,140,No
19,Chad,2010,31.4,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT20,5,5,148,No
20,Congo,2012,58.5,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT21,5,5,178,No
21,Costa Rica,2011,71.5,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT22,5,5,188,No
22,Côte dIvoire,2012,28.9,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT23,5,5,384,No
23,Côte dIvoire,2006,19.0,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT24,5,5,384,No
24,Cuba,2011,69.9,Children with ARI symptoms antibiotic treatment,Percent,5,All,CA5YARIAT25,5,5,192,No
