,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC1,0,130,4,No
1,Albania,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC2,0,130,8,No
2,Albania,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC3,0,130,8,No
3,Albania,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC4,0,130,8,No
4,Algeria,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC5,0,130,12,No
5,Algeria,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC6,0,130,12,No
6,Algeria,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC7,0,130,12,No
7,Andorra,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC8,0,130,20,No
8,Andorra,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC9,0,130,20,No
9,Andorra,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC10,0,130,20,No
10,Andorra,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC11,0,130,20,No
11,Antigua and Barbuda,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC12,0,130,28,No
12,Antigua and Barbuda,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC13,0,130,28,No
13,Antigua and Barbuda,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC14,0,130,28,No
14,Antigua and Barbuda,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC15,0,130,28,No
15,Argentina,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC16,0,130,32,No
16,Argentina,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC17,0,130,32,No
17,Argentina,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC18,0,130,32,No
18,Argentina,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC19,0,130,32,No
19,Armenia,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC20,0,130,51,No
20,Armenia,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC21,0,130,51,No
21,Armenia,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC22,0,130,51,No
22,Armenia,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC23,0,130,51,No
23,Australia,2012,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC24,0,130,36,No
24,Australia,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC25,0,130,36,No
25,Australia,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC26,0,130,36,No
26,Australia,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC27,0,130,36,No
27,Azerbaijan,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC28,0,130,31,No
28,Azerbaijan,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC29,0,130,31,No
29,Azerbaijan,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC30,0,130,31,No
30,Bahamas,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC31,0,130,44,No
31,Bahamas,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC32,0,130,44,No
32,Bahamas,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC33,0,130,44,No
33,Bahamas,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC34,0,130,44,No
34,Bahrain,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC35,0,130,48,No
35,Bahrain,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC36,0,130,48,No
36,Bahrain,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC37,0,130,48,No
37,Bahrain,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC38,0,130,48,No
38,Barbados,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC39,0,130,52,No
39,Barbados,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC40,0,130,52,No
40,Barbados,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC41,0,130,52,No
41,Barbados,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC42,0,130,52,No
42,Belarus,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC43,0,130,112,No
43,Belarus,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC44,0,130,112,No
44,Belarus,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC45,0,130,112,No
45,Belarus,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC46,0,130,112,No
46,Belgium,2012,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC47,0,130,56,No
47,Belgium,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC48,0,130,56,No
48,Belgium,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC49,0,130,56,No
49,Belgium,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC50,0,130,56,No
50,Belize,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC51,0,130,84,No
51,Belize,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC52,0,130,84,No
52,Belize,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC53,0,130,84,No
53,Belize,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC54,0,130,84,No
54,Benin,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC55,0,130,204,No
55,Bhutan,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC56,0,130,64,No
56,Bhutan,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC57,0,130,64,No
57,Bhutan,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC58,0,130,64,No
58,Bolivia (Plurinational State of),2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC59,0,130,68,No
59,Bolivia (Plurinational State of),2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC60,0,130,68,No
60,Bolivia (Plurinational State of),2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC61,0,130,68,No
61,Bolivia (Plurinational State of),2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC62,0,130,68,No
62,Bosnia and Herzegovina,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC63,0,130,70,No
63,Bosnia and Herzegovina,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC64,0,130,70,No
64,Brazil,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC65,0,130,76,No
65,Brazil,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC66,0,130,76,No
66,Brazil,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC67,0,130,76,No
67,Brazil,2009,19,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC68,0,130,76,No
68,Brunei Darussalam,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC69,0,130,96,No
69,Brunei Darussalam,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC70,0,130,96,No
70,Brunei Darussalam,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC71,0,130,96,No
71,Brunei Darussalam,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC72,0,130,96,No
72,Bulgaria,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC73,0,130,100,No
73,Bulgaria,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC74,0,130,100,No
74,Bulgaria,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC75,0,130,100,No
75,Bulgaria,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC76,0,130,100,No
76,Burkina Faso,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC77,0,130,854,No
77,Burundi,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC78,0,130,108,No
78,Burundi,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC79,0,130,108,No
79,Burundi,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC80,0,130,108,No
80,Cabo Verde,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC81,0,130,132,No
81,Cabo Verde,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC82,0,130,132,No
82,Cabo Verde,2010,16,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC83,0,130,132,No
83,Cabo Verde,2009,46,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC84,0,130,132,No
84,Cambodia,2012,32,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC85,0,130,116,No
85,Cambodia,2011,9,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC86,0,130,116,No
86,Canada,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC87,0,130,124,No
87,Canada,2011,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC88,0,130,124,No
88,Canada,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC89,0,130,124,No
89,Canada,2009,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC90,0,130,124,No
90,Chile,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC91,0,130,152,No
91,Chile,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC92,0,130,152,No
92,Chile,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC93,0,130,152,No
93,Chile,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC94,0,130,152,No
94,Colombia,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC95,0,130,170,No
95,Colombia,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC96,0,130,170,No
96,Colombia,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC97,0,130,170,No
97,Colombia,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC98,0,130,170,No
98,Congo,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC99,0,130,178,No
99,Congo,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC100,0,130,178,No
100,Congo,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC101,0,130,178,No
101,Cook Islands,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC102,0,130,184,No
102,Cook Islands,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC103,0,130,184,No
103,Cook Islands,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC104,0,130,184,No
104,Cook Islands,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC105,0,130,184,No
105,Costa Rica,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC106,0,130,188,No
106,Costa Rica,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC107,0,130,188,No
107,Costa Rica,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC108,0,130,188,No
108,Costa Rica,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC109,0,130,188,No
109,Croatia,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC110,0,130,191,No
110,Croatia,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC111,0,130,191,No
111,Croatia,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC112,0,130,191,No
112,Croatia,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC113,0,130,191,No
113,Cuba,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC114,0,130,192,No
114,Cuba,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC115,0,130,192,No
115,Cuba,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC116,0,130,192,No
116,Cuba,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC117,0,130,192,No
117,Cyprus,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC118,0,130,196,No
118,Cyprus,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC119,0,130,196,No
119,Cyprus,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC120,0,130,196,No
120,Cyprus,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC121,0,130,196,No
121,Czech Republic,2012,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC122,0,130,203,No
122,Czech Republic,2011,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC123,0,130,203,No
123,Czech Republic,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC124,0,130,203,No
124,Czech Republic,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC125,0,130,203,No
125,Democratic Peoples Republic of Korea,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC126,0,130,408,No
126,Democratic Peoples Republic of Korea,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC127,0,130,408,No
127,Democratic Republic of the Congo,2009,1,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC128,0,130,180,No
128,Denmark,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC129,0,130,208,No
129,Denmark,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC130,0,130,208,No
130,Denmark,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC131,0,130,208,No
131,Djibouti,2010,5,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC132,0,130,262,No
132,Djibouti,2009,16,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC133,0,130,262,No
133,Dominica,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC134,0,130,212,No
134,Dominica,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC135,0,130,212,No
135,Dominica,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC136,0,130,212,No
136,Dominica,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC137,0,130,212,No
137,Dominican Republic,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC138,0,130,214,No
138,Dominican Republic,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC139,0,130,214,No
139,Dominican Republic,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC140,0,130,214,No
140,Dominican Republic,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC141,0,130,214,No
141,Ecuador,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC142,0,130,218,No
142,Ecuador,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC143,0,130,218,No
143,Ecuador,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC144,0,130,218,No
144,Ecuador,2009,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC145,0,130,218,No
145,El Salvador,2012,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC146,0,130,222,No
146,El Salvador,2011,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC147,0,130,222,No
147,El Salvador,2010,0,Congenital Rubella Syndrome,Absolute,All,All,CRSNRC148,0,130,222,No
