,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,8.4,Crude Death Rate,per 1k pop,All,All,CDR1,0,130,4,No
1,Albania,2012,9.3,Crude Death Rate,per 1k pop,All,All,CDR2,0,130,8,No
2,Algeria,2012,5.7,Crude Death Rate,per 1k pop,All,All,CDR3,0,130,12,No
3,Andorra,2012,8.3,Crude Death Rate,per 1k pop,All,All,CDR4,0,130,20,No
4,Angola,2012,14.4,Crude Death Rate,per 1k pop,All,All,CDR5,0,130,24,No
5,Antigua and Barbuda,2012,6.8,Crude Death Rate,per 1k pop,All,All,CDR6,0,130,28,No
6,Argentina,2012,7.6,Crude Death Rate,per 1k pop,All,All,CDR7,0,130,32,No
7,Armenia,2012,12.4,Crude Death Rate,per 1k pop,All,All,CDR8,0,130,51,No
8,Australia,2012,6.4,Crude Death Rate,per 1k pop,All,All,CDR9,0,130,36,No
9,Austria,2012,9.3,Crude Death Rate,per 1k pop,All,All,CDR10,0,130,40,No
10,Azerbaijan,2012,6.2,Crude Death Rate,per 1k pop,All,All,CDR11,0,130,31,No
11,Bahamas,2012,6.0,Crude Death Rate,per 1k pop,All,All,CDR12,0,130,44,No
12,Bahrain,2012,2.2,Crude Death Rate,per 1k pop,All,All,CDR13,0,130,48,No
13,Bangladesh,2012,5.7,Crude Death Rate,per 1k pop,All,All,CDR14,0,130,50,No
14,Barbados,2012,6.5,Crude Death Rate,per 1k pop,All,All,CDR15,0,130,52,No
15,Belarus,2012,13.0,Crude Death Rate,per 1k pop,All,All,CDR16,0,130,112,No
16,Belgium,2012,9.8,Crude Death Rate,per 1k pop,All,All,CDR17,0,130,56,No
17,Belize,2012,4.1,Crude Death Rate,per 1k pop,All,All,CDR18,0,130,84,No
18,Benin,2012,9.7,Crude Death Rate,per 1k pop,All,All,CDR19,0,130,204,No
19,Bhutan,2012,6.5,Crude Death Rate,per 1k pop,All,All,CDR20,0,130,64,No
20,Bolivia (Plurinational State of),2012,6.9,Crude Death Rate,per 1k pop,All,All,CDR21,0,130,68,No
21,Bosnia and Herzegovina,2012,9.2,Crude Death Rate,per 1k pop,All,All,CDR22,0,130,70,No
22,Botswana,2012,8.1,Crude Death Rate,per 1k pop,All,All,CDR23,0,130,72,No
23,Brazil,2012,6.6,Crude Death Rate,per 1k pop,All,All,CDR24,0,130,76,No
24,Brunei Darussalam,2012,3.5,Crude Death Rate,per 1k pop,All,All,CDR25,0,130,96,No
25,Bulgaria,2012,14.6,Crude Death Rate,per 1k pop,All,All,CDR26,0,130,100,No
26,Burkina Faso,2012,9.8,Crude Death Rate,per 1k pop,All,All,CDR27,0,130,854,No
27,Burundi,2012,11.5,Crude Death Rate,per 1k pop,All,All,CDR28,0,130,108,No
28,Cabo Verde,2012,5.2,Crude Death Rate,per 1k pop,All,All,CDR29,0,130,132,No
29,Cambodia,2012,5.7,Crude Death Rate,per 1k pop,All,All,CDR30,0,130,116,No
30,Cameroon,2012,11.0,Crude Death Rate,per 1k pop,All,All,CDR31,0,130,120,No
31,Canada,2012,7.1,Crude Death Rate,per 1k pop,All,All,CDR32,0,130,124,No
32,Central African Republic,2012,14.4,Crude Death Rate,per 1k pop,All,All,CDR33,0,130,140,No
33,Chad,2012,14.0,Crude Death Rate,per 1k pop,All,All,CDR34,0,130,148,No
34,Chile,2012,5.4,Crude Death Rate,per 1k pop,All,All,CDR35,0,130,152,No
35,China,2012,7.1,Crude Death Rate,per 1k pop,All,All,CDR36,0,130,156,No
36,Colombia,2012,3.9,Crude Death Rate,per 1k pop,All,All,CDR37,0,130,170,No
37,Comoros,2012,8.3,Crude Death Rate,per 1k pop,All,All,CDR38,0,130,174,No
38,Congo,2012,10.4,Crude Death Rate,per 1k pop,All,All,CDR39,0,130,178,No
39,Cook Islands,2012,5.0,Crude Death Rate,per 1k pop,All,All,CDR40,0,130,184,No
40,Costa Rica,2012,4.4,Crude Death Rate,per 1k pop,All,All,CDR41,0,130,188,No
41,Côte dIvoire,2012,12.7,Crude Death Rate,per 1k pop,All,All,CDR42,0,130,384,No
42,Croatia,2012,11.6,Crude Death Rate,per 1k pop,All,All,CDR43,0,130,191,No
43,Cuba,2012,7.9,Crude Death Rate,per 1k pop,All,All,CDR44,0,130,192,No
44,Cyprus,2012,5.5,Crude Death Rate,per 1k pop,All,All,CDR45,0,130,196,No
45,Czech Republic,2012,10.0,Crude Death Rate,per 1k pop,All,All,CDR46,0,130,203,No
46,Democratic Peoples Republic of Korea,2012,9.2,Crude Death Rate,per 1k pop,All,All,CDR47,0,130,408,No
47,Democratic Republic of the Congo,2012,14.0,Crude Death Rate,per 1k pop,All,All,CDR48,0,130,180,No
48,Denmark,2012,9.6,Crude Death Rate,per 1k pop,All,All,CDR49,0,130,208,No
49,Djibouti,2012,9.0,Crude Death Rate,per 1k pop,All,All,CDR50,0,130,262,No
50,Dominica,2012,7.2,Crude Death Rate,per 1k pop,All,All,CDR51,0,130,212,No
51,Dominican Republic,2012,4.8,Crude Death Rate,per 1k pop,All,All,CDR52,0,130,214,No
52,Ecuador,2012,5.3,Crude Death Rate,per 1k pop,All,All,CDR53,0,130,218,No
53,Egypt,2012,6.5,Crude Death Rate,per 1k pop,All,All,CDR54,0,130,818,No
54,El Salvador,2012,6.6,Crude Death Rate,per 1k pop,All,All,CDR55,0,130,222,No
55,Equatorial Guinea,2012,11.9,Crude Death Rate,per 1k pop,All,All,CDR56,0,130,226,No
56,Eritrea,2012,6.5,Crude Death Rate,per 1k pop,All,All,CDR57,0,130,232,No
57,Estonia,2012,11.5,Crude Death Rate,per 1k pop,All,All,CDR58,0,130,233,No
58,Ethiopia,2012,7.5,Crude Death Rate,per 1k pop,All,All,CDR59,0,130,231,No
59,Ethiopia,2012,7.5,Crude Death Rate,per 1k pop,All,All,CDR59,0,130,230,No
60,Fiji,2012,6.8,Crude Death Rate,per 1k pop,All,All,CDR60,0,130,242,No
61,Finland,2012,9.4,Crude Death Rate,per 1k pop,All,All,CDR61,0,130,246,No
62,France,2012,8.7,Crude Death Rate,per 1k pop,All,All,CDR62,0,130,250,No
63,Gabon,2012,9.2,Crude Death Rate,per 1k pop,All,All,CDR63,0,130,266,No
64,Gambia,2012,8.4,Crude Death Rate,per 1k pop,All,All,CDR64,0,130,270,No
65,Georgia,2012,13.1,Crude Death Rate,per 1k pop,All,All,CDR65,0,130,268,No
66,Germany,2012,10.5,Crude Death Rate,per 1k pop,All,All,CDR66,0,130,276,No
67,Ghana,2012,8.3,Crude Death Rate,per 1k pop,All,All,CDR67,0,130,288,No
68,Greece,2012,10.0,Crude Death Rate,per 1k pop,All,All,CDR68,0,130,300,No
69,Grenada,2012,6.9,Crude Death Rate,per 1k pop,All,All,CDR69,0,130,308,No
70,Guatemala,2012,6.0,Crude Death Rate,per 1k pop,All,All,CDR70,0,130,320,No
71,Guinea,2012,10.3,Crude Death Rate,per 1k pop,All,All,CDR71,0,130,324,No
72,Guinea-Bissau,2012,12.2,Crude Death Rate,per 1k pop,All,All,CDR72,0,130,624,No
73,Guyana,2012,7.9,Crude Death Rate,per 1k pop,All,All,CDR73,0,130,328,No
74,Haiti,2012,8.8,Crude Death Rate,per 1k pop,All,All,CDR74,0,130,332,No
75,Honduras,2012,4.5,Crude Death Rate,per 1k pop,All,All,CDR75,0,130,340,No
76,Hungary,2012,12.9,Crude Death Rate,per 1k pop,All,All,CDR76,0,130,348,No
77,Iceland,2012,6.2,Crude Death Rate,per 1k pop,All,All,CDR77,0,130,352,No
78,India,2012,7.9,Crude Death Rate,per 1k pop,All,All,CDR78,0,130,356,No
79,Indonesia,2012,6.3,Crude Death Rate,per 1k pop,All,All,CDR79,0,130,360,No
80,Iran (Islamic Republic of),2012,5.2,Crude Death Rate,per 1k pop,All,All,CDR80,0,130,364,No
81,Iraq,2012,5.1,Crude Death Rate,per 1k pop,All,All,CDR81,0,130,368,No
82,Ireland,2012,5.9,Crude Death Rate,per 1k pop,All,All,CDR82,0,130,372,No
83,Israel,2012,5.3,Crude Death Rate,per 1k pop,All,All,CDR83,0,130,376,No
84,Italy,2012,9.4,Crude Death Rate,per 1k pop,All,All,CDR84,0,130,380,No
85,Jamaica,2012,7.1,Crude Death Rate,per 1k pop,All,All,CDR85,0,130,388,No
86,Japan,2012,9.4,Crude Death Rate,per 1k pop,All,All,CDR86,0,130,392,No
87,Japan,2012,9.4,Crude Death Rate,per 1k pop,All,All,CDR86,0,130,392,No
88,Jordan,2012,3.7,Crude Death Rate,per 1k pop,All,All,CDR87,0,130,400,No
89,Kazakhstan,2012,9.7,Crude Death Rate,per 1k pop,All,All,CDR88,0,130,398,No
90,Kenya,2012,8.6,Crude Death Rate,per 1k pop,All,All,CDR89,0,130,404,No
91,Kiribati,2012,8.2,Crude Death Rate,per 1k pop,All,All,CDR90,0,130,296,No
92,Kuwait,2012,1.9,Crude Death Rate,per 1k pop,All,All,CDR91,0,130,414,No
93,Kyrgyzstan,2012,6.7,Crude Death Rate,per 1k pop,All,All,CDR92,0,130,417,No
94,Lao Peoples Democratic Republic,2012,7.0,Crude Death Rate,per 1k pop,All,All,CDR93,0,130,418,No
95,Latvia,2012,14.1,Crude Death Rate,per 1k pop,All,All,CDR94,0,130,428,No
96,Lebanon,2012,4.5,Crude Death Rate,per 1k pop,All,All,CDR95,0,130,422,No
97,Lesotho,2012,14.1,Crude Death Rate,per 1k pop,All,All,CDR96,0,130,426,No
98,Liberia,2012,8.2,Crude Death Rate,per 1k pop,All,All,CDR97,0,130,430,No
99,Libya,2012,4.2,Crude Death Rate,per 1k pop,All,All,CDR98,0,130,434,No
100,Lithuania,2012,11.5,Crude Death Rate,per 1k pop,All,All,CDR99,0,130,440,No
101,Luxembourg,2012,6.8,Crude Death Rate,per 1k pop,All,All,CDR100,0,130,442,No
102,Madagascar,2012,7.1,Crude Death Rate,per 1k pop,All,All,CDR101,0,130,450,No
