,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,0.072,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP1,0,130,12,No
1,Algeria,2002,0.081,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP2,0,130,12,No
2,Bahrain,2004,0.398,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP3,0,130,48,No
3,Bangladesh,2011,0.037,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP4,0,130,50,No
4,Bangladesh,2005,0.043,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP5,0,130,50,No
5,Bangladesh,2004,0.038,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP6,0,130,50,No
6,Bangladesh,2002,0.007,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP7,0,130,50,No
7,Barbados,2005,0.719,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP8,0,130,52,No
8,Barbados,2001,0.724,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP9,0,130,52,No
9,Barbados,2000,0.914,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP10,0,130,52,No
10,Barbados,1995,0.673,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP11,0,130,52,No
11,Belize,2009,0.206,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP12,0,130,84,No
12,Benin,2008,0.023,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP13,0,130,204,No
13,Benin,2004,0.026,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP14,0,130,204,No
14,Bhutan,2008,0.016,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP15,0,130,64,No
15,Bhutan,2007,0.035,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP16,0,130,64,No
16,Bhutan,2004,0.031,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP17,0,130,64,No
17,Bolivia (Plurinational State of),2011,0.008,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP18,0,130,68,No
18,Bolivia (Plurinational State of),2010,0.005,Environmental and public health workers density,per 1k pop,All,All,EAPHWDP19,0,130,68,No
