,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,21.8,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH1,0,130,4,Yes
1,Afghanistan,2011,19.4,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH2,0,130,4,Yes
2,Afghanistan,2010,27.8,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH3,0,130,4,Yes
3,Afghanistan,2009,23.4,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH4,0,130,4,Yes
4,Afghanistan,2008,22.2,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH5,0,130,4,Yes
5,Afghanistan,2007,17.0,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH6,0,130,4,Yes
6,Afghanistan,2006,21.3,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH7,0,130,4,Yes
7,Afghanistan,2005,12.3,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH8,0,130,4,Yes
8,Afghanistan,2004,5.9,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH9,0,130,4,Yes
9,Afghanistan,2003,4.0,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH10,0,130,4,Yes
10,Afghanistan,2002,22.2,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH11,0,130,4,Yes
11,Albania,2012,3.7,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH12,0,130,8,Yes
12,Albania,2011,1.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH13,0,130,8,Yes
13,Albania,2010,2.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH14,0,130,8,Yes
14,Albania,2009,3.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH15,0,130,8,Yes
15,Albania,2008,2.4,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH16,0,130,8,Yes
16,Albania,2007,4.5,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH17,0,130,8,Yes
17,Albania,2006,4.5,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH18,0,130,8,Yes
18,Albania,2005,3.6,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH19,0,130,8,Yes
19,Albania,2004,4.5,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH20,0,130,8,Yes
20,Albania,2003,3.8,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH21,0,130,8,Yes
21,Albania,2002,2.8,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH22,0,130,8,Yes
22,Albania,2001,5.2,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH23,0,130,8,Yes
23,Albania,2000,6.0,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH24,0,130,8,Yes
24,Albania,1999,9.7,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH25,0,130,8,Yes
25,Albania,1998,0.5,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH26,0,130,8,Yes
26,Albania,1997,2.6,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH27,0,130,8,Yes
27,Albania,1996,2.8,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH28,0,130,8,Yes
28,Albania,1995,15.2,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH29,0,130,8,Yes
29,Algeria,2012,0.0,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH30,0,130,12,Yes
30,Algeria,2011,0.0,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH31,0,130,12,Yes
31,Algeria,2010,0.0,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH32,0,130,12,Yes
32,Algeria,2009,0.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH33,0,130,12,Yes
33,Algeria,2008,0.2,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH34,0,130,12,Yes
34,Algeria,2007,0.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH35,0,130,12,Yes
35,Algeria,2006,0.2,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH36,0,130,12,Yes
36,Algeria,2005,0.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH37,0,130,12,Yes
37,Algeria,2004,0.1,External resources for health as a percentage of total expenditure on health,Percentage,All,All,ERFHAPTEH38,0,130,12,Yes
