,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Azerbaijan,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC1,0,130,31,No
1,Bangladesh,2012,3,H5N1 Influenza,Absolute,All,All,HSN1INRC2,0,130,50,No
2,Bangladesh,2011,2,H5N1 Influenza,Absolute,All,All,HSN1INRC3,0,130,50,No
3,Cambodia,2012,3,H5N1 Influenza,Absolute,All,All,HSN1INRC4,0,130,116,No
4,Cambodia,2011,8,H5N1 Influenza,Absolute,All,All,HSN1INRC5,0,130,116,No
5,Cambodia,2010,1,H5N1 Influenza,Absolute,All,All,HSN1INRC6,0,130,116,No
6,China,2012,2,H5N1 Influenza,Absolute,All,All,HSN1INRC7,0,130,156,No
7,China,2011,1,H5N1 Influenza,Absolute,All,All,HSN1INRC8,0,130,156,No
8,China,2010,2,H5N1 Influenza,Absolute,All,All,HSN1INRC9,0,130,156,No
9,Djibouti,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC10,0,130,262,No
10,Egypt,2012,11,H5N1 Influenza,Absolute,All,All,HSN1INRC11,0,130,818,No
11,Egypt,2011,39,H5N1 Influenza,Absolute,All,All,HSN1INRC12,0,130,818,No
12,Egypt,2010,29,H5N1 Influenza,Absolute,All,All,HSN1INRC13,0,130,818,No
13,Indonesia,2012,9,H5N1 Influenza,Absolute,All,All,HSN1INRC14,0,130,360,No
14,Indonesia,2011,12,H5N1 Influenza,Absolute,All,All,HSN1INRC15,0,130,360,No
15,Indonesia,2010,9,H5N1 Influenza,Absolute,All,All,HSN1INRC16,0,130,360,No
16,Iraq,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC17,0,130,368,No
17,Lao Peoples Democratic Republic,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC18,0,130,418,No
18,Myanmar,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC19,0,130,104,No
19,Nigeria,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC20,0,130,566,No
20,Pakistan,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC21,0,130,586,No
21,Thailand,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC22,0,130,764,No
22,Turkey,2012,0,H5N1 Influenza,Absolute,All,All,HSN1INRC23,0,130,792,No
23,Viet Nam,2012,4,H5N1 Influenza,Absolute,All,All,HSN1INRC24,0,130,704,No
24,Viet Nam,2010,7,H5N1 Influenza,Absolute,All,All,HSN1INRC25,0,130,704,No
