,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,0.292,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP1,0,130,12,No
1,Algeria,2002,0.283,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP2,0,130,12,No
2,Angola,2004,0.144,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP3,0,130,24,No
3,Argentina,2004,0.505,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP4,0,130,32,No
4,Australia,2006,0.514,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP5,0,130,36,No
5,Australia,2001,0.43,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP6,0,130,36,No
6,Australia,1996,0.356,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP7,0,130,36,No
7,Bahamas,2008,0.509,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP8,0,130,44,No
8,Bahrain,2011,0.319,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP9,0,130,48,No
9,Bahrain,2010,0.544,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP10,0,130,48,No
10,Bahrain,2009,0.488,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP11,0,130,48,No
11,Bahrain,2008,0.497,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP12,0,130,48,No
12,Bahrain,2004,0.648,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP13,0,130,48,No
13,Bangladesh,2007,0.026,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP14,0,130,50,No
14,Bangladesh,2005,0.014,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP15,0,130,50,No
15,Bangladesh,2004,0.025,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP16,0,130,50,No
16,Bangladesh,2002,0.026,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP17,0,130,50,No
17,Barbados,2005,0.052,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP18,0,130,52,No
18,Barbados,2001,0.265,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP19,0,130,52,No
19,Barbados,1995,0.3,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP20,0,130,52,No
20,Benin,2008,0.027,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP21,0,130,204,No
21,Benin,2004,0.069,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP22,0,130,204,No
22,Bhutan,2012,0.036,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP23,0,130,64,No
23,Bhutan,2008,0.004,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP24,0,130,64,No
24,Bhutan,2007,0.074,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP25,0,130,64,No
25,Bhutan,2004,0.058,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP26,0,130,64,No
26,Bolivia (Plurinational State of),2011,0.079,Laboratory health workers density,per 1k pop,All,All,LHWDP1KP27,0,130,68,No
