,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,37,Leprosy,Absolute,All,All,LNRC1,0,130,4,No
1,Afghanistan,2011,50,Leprosy,Absolute,All,All,LNRC2,0,130,4,No
2,Afghanistan,2010,51,Leprosy,Absolute,All,All,LNRC3,0,130,4,No
3,Afghanistan,2009,52,Leprosy,Absolute,All,All,LNRC4,0,130,4,No
4,Afghanistan,2008,24,Leprosy,Absolute,All,All,LNRC5,0,130,4,No
5,Afghanistan,2007,26,Leprosy,Absolute,All,All,LNRC6,0,130,4,No
6,Afghanistan,2006,21,Leprosy,Absolute,All,All,LNRC7,0,130,4,No
7,Afghanistan,2005,31,Leprosy,Absolute,All,All,LNRC8,0,130,4,No
8,Albania,2010,0,Leprosy,Absolute,All,All,LNRC9,0,130,8,No
9,Albania,2007,0,Leprosy,Absolute,All,All,LNRC10,0,130,8,No
10,Algeria,2011,0,Leprosy,Absolute,All,All,LNRC11,0,130,12,No
11,Algeria,2010,0,Leprosy,Absolute,All,All,LNRC12,0,130,12,No
12,Algeria,2009,0,Leprosy,Absolute,All,All,LNRC13,0,130,12,No
13,Algeria,2008,0,Leprosy,Absolute,All,All,LNRC14,0,130,12,No
14,Algeria,2007,0,Leprosy,Absolute,All,All,LNRC15,0,130,12,No
15,Algeria,2005,0,Leprosy,Absolute,All,All,LNRC16,0,130,12,No
16,Andorra,2010,0,Leprosy,Absolute,All,All,LNRC17,0,130,20,No
17,Andorra,2008,0,Leprosy,Absolute,All,All,LNRC18,0,130,20,No
18,Andorra,2007,0,Leprosy,Absolute,All,All,LNRC19,0,130,20,No
19,Angola,2012,431,Leprosy,Absolute,All,All,LNRC20,0,130,24,No
20,Angola,2011,508,Leprosy,Absolute,All,All,LNRC21,0,130,24,No
21,Angola,2010,1076,Leprosy,Absolute,All,All,LNRC22,0,130,24,No
22,Angola,2009,937,Leprosy,Absolute,All,All,LNRC23,0,130,24,No
23,Angola,2008,1184,Leprosy,Absolute,All,All,LNRC24,0,130,24,No
24,Angola,2007,1269,Leprosy,Absolute,All,All,LNRC25,0,130,24,No
25,Angola,2006,1078,Leprosy,Absolute,All,All,LNRC26,0,130,24,No
26,Angola,2005,1877,Leprosy,Absolute,All,All,LNRC27,0,130,24,No
27,Antigua and Barbuda,2012,0,Leprosy,Absolute,All,All,LNRC28,0,130,28,No
28,Antigua and Barbuda,2009,0,Leprosy,Absolute,All,All,LNRC29,0,130,28,No
29,Antigua and Barbuda,2007,0,Leprosy,Absolute,All,All,LNRC30,0,130,28,No
30,Argentina,2012,310,Leprosy,Absolute,All,All,LNRC31,0,130,32,No
31,Argentina,2011,340,Leprosy,Absolute,All,All,LNRC32,0,130,32,No
32,Argentina,2010,354,Leprosy,Absolute,All,All,LNRC33,0,130,32,No
33,Argentina,2009,333,Leprosy,Absolute,All,All,LNRC34,0,130,32,No
34,Argentina,2008,388,Leprosy,Absolute,All,All,LNRC35,0,130,32,No
