,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,131,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA1,30,70,4,No
1,Albania,2008,168,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA2,30,70,8,No
2,Algeria,2008,127,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA3,30,70,12,No
3,Andorra,2008,126,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA4,30,70,20,No
4,Angola,2008,130,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA5,30,70,24,No
5,Antigua and Barbuda,2008,164,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA6,30,70,28,No
6,Argentina,2008,165,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA7,30,70,32,No
7,Armenia,2008,239,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA8,30,70,51,No
8,Australia,2008,125,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA9,30,70,36,No
9,Austria,2008,140,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA10,30,70,40,No
10,Azerbaijan,2008,188,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA11,30,70,31,No
11,Bahamas,2008,126,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA12,30,70,44,No
12,Bahrain,2008,73,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA13,30,70,48,No
13,Bangladesh,2008,183,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA14,30,70,50,No
14,Barbados,2008,140,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA15,30,70,52,No
15,Belarus,2008,198,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA16,30,70,112,No
16,Belgium,2008,151,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA17,30,70,56,No
17,Belize,2008,125,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA18,30,70,84,No
18,Benin,2008,161,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA19,30,70,204,No
19,Bhutan,2008,171,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA20,30,70,64,No
20,Bolivia (Plurinational State of),2008,105,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA21,30,70,68,No
21,Bosnia and Herzegovina,2008,137,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA22,30,70,70,No
22,Botswana,2008,66,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA23,30,70,72,No
23,Brazil,2008,139,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA24,30,70,76,No
24,Brunei Darussalam,2008,107,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA25,30,70,96,No
25,Bulgaria,2008,196,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA26,30,70,100,No
26,Burkina Faso,2008,143,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA27,30,70,854,No
27,Burundi,2008,161,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA28,30,70,108,No
28,Cabo Verde,2008,144,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA29,30,70,132,No
29,Cambodia,2008,156,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA30,30,70,116,No
30,Cameroon,2008,122,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA31,30,70,120,No
31,Canada,2008,138,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA32,30,70,124,No
32,Central African Republic,2008,121,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA33,30,70,140,No
33,Chad,2008,130,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA34,30,70,148,No
34,Chile,2008,125,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA35,30,70,152,No
35,China,2008,179,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA36,30,70,156,No
36,Colombia,2008,112,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA37,30,70,170,No
37,Comoros,2008,140,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA38,30,70,174,No
38,Congo,2008,113,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA39,30,70,178,No
39,Cook Islands,2008,63,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA40,30,70,184,No
40,Costa Rica,2008,107,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA41,30,70,188,No
41,Côte dIvoire,2008,104,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA42,30,70,384,No
42,Croatia,2008,203,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA43,30,70,191,No
43,Cuba,2008,159,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA44,30,70,192,No
44,Cyprus,2008,75,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA45,30,70,196,No
45,Czech Republic,2008,191,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA46,30,70,203,No
46,Democratic Peoples Republic of Korea,2008,120,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA47,30,70,408,No
47,Democratic Republic of the Congo,2008,138,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA48,30,70,180,No
48,Denmark,2008,170,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA49,30,70,208,No
49,Djibouti,2008,126,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA50,30,70,262,No
50,Dominica,2008,161,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA51,30,70,212,No
51,Dominican Republic,2008,126,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA52,30,70,214,No
52,Ecuador,2008,125,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA53,30,70,218,No
53,Egypt,2008,130,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA54,30,70,818,No
54,El Salvador,2008,138,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA55,30,70,222,No
55,Equatorial Guinea,2008,120,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA56,30,70,226,No
56,Eritrea,2008,119,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA57,30,70,232,No
57,Estonia,2008,181,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA58,30,70,233,No
58,Ethiopia,2008,132,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA59,30,70,231,No
59,Ethiopia,2008,132,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA59,30,70,230,No
60,Fiji,2008,150,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA60,30,70,242,No
61,Finland,2008,113,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA61,30,70,246,No
62,France,2008,169,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA62,30,70,250,No
63,Gabon,2008,117,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA63,30,70,266,No
64,Gambia,2008,183,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA64,30,70,270,No
65,Georgia,2008,143,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA65,30,70,268,No
66,Germany,2008,150,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA66,30,70,276,No
67,Ghana,2008,151,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA67,30,70,288,No
68,Greece,2008,137,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA68,30,70,300,No
69,Grenada,2008,211,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA69,30,70,308,No
70,Guatemala,2008,146,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA70,30,70,320,No
71,Guinea,2008,177,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA71,30,70,324,No
72,Guinea-Bissau,2008,166,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA72,30,70,624,No
73,Guyana,2008,133,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA73,30,70,328,No
74,Haiti,2008,89,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA74,30,70,332,No
75,Honduras,2008,166,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA75,30,70,340,No
76,Hungary,2008,262,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA76,30,70,348,No
77,Iceland,2008,121,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA77,30,70,352,No
78,India,2008,108,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA78,30,70,356,No
79,Indonesia,2008,165,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA79,30,70,360,No
80,Iran (Islamic Republic of),2008,111,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA80,30,70,364,No
81,Iraq,2008,134,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA81,30,70,368,No
82,Ireland,2008,150,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA82,30,70,372,No
83,Israel,2008,125,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA83,30,70,376,No
84,Italy,2008,132,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA84,30,70,380,No
85,Jamaica,2008,155,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA85,30,70,388,No
86,Japan,2008,119,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA86,30,70,392,No
87,Japan,2008,119,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA86,30,70,392,No
88,Jordan,2008,153,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA87,30,70,400,No
89,Kazakhstan,2008,221,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA88,30,70,398,No
90,Kenya,2008,178,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA89,30,70,404,No
91,Kiribati,2008,68,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA90,30,70,296,No
92,Kuwait,2008,81,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA91,30,70,414,No
93,Kyrgyzstan,2008,197,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA92,30,70,417,No
94,Lao Peoples Democratic Republic,2008,173,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA93,30,70,418,No
95,Latvia,2008,202,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA94,30,70,428,No
96,Lebanon,2008,183,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA95,30,70,422,No
97,Lesotho,2008,109,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA96,30,70,426,No
98,Liberia,2008,149,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA97,30,70,430,No
99,Libya,2008,140,Mortality Rate Cancer,per 100k pop,30-70,All,MRCA98,30,70,434,No
