,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,713,Mortality Rate Communicable,per 100k pop,30-70,All,MRC1,30,70,4,No
1,Albania,2008,46,Mortality Rate Communicable,per 100k pop,30-70,All,MRC2,30,70,8,No
2,Algeria,2008,202,Mortality Rate Communicable,per 100k pop,30-70,All,MRC3,30,70,12,No
3,Andorra,2008,16,Mortality Rate Communicable,per 100k pop,30-70,All,MRC4,30,70,20,No
4,Angola,2008,819,Mortality Rate Communicable,per 100k pop,30-70,All,MRC5,30,70,24,No
5,Antigua and Barbuda,2008,86,Mortality Rate Communicable,per 100k pop,30-70,All,MRC6,30,70,28,No
6,Argentina,2008,87,Mortality Rate Communicable,per 100k pop,30-70,All,MRC7,30,70,32,No
7,Armenia,2008,74,Mortality Rate Communicable,per 100k pop,30-70,All,MRC8,30,70,51,No
8,Australia,2008,18,Mortality Rate Communicable,per 100k pop,30-70,All,MRC9,30,70,36,No
9,Austria,2008,14,Mortality Rate Communicable,per 100k pop,30-70,All,MRC10,30,70,40,No
10,Azerbaijan,2008,102,Mortality Rate Communicable,per 100k pop,30-70,All,MRC11,30,70,31,No
11,Bahamas,2008,91,Mortality Rate Communicable,per 100k pop,30-70,All,MRC12,30,70,44,No
12,Bahrain,2008,63,Mortality Rate Communicable,per 100k pop,30-70,All,MRC13,30,70,48,No
13,Bangladesh,2008,344,Mortality Rate Communicable,per 100k pop,30-70,All,MRC14,30,70,50,No
14,Barbados,2008,86,Mortality Rate Communicable,per 100k pop,30-70,All,MRC15,30,70,52,No
15,Belarus,2008,30,Mortality Rate Communicable,per 100k pop,30-70,All,MRC16,30,70,112,No
16,Belgium,2008,33,Mortality Rate Communicable,per 100k pop,30-70,All,MRC17,30,70,56,No
17,Belize,2008,119,Mortality Rate Communicable,per 100k pop,30-70,All,MRC18,30,70,84,No
18,Benin,2008,618,Mortality Rate Communicable,per 100k pop,30-70,All,MRC19,30,70,204,No
19,Bhutan,2008,359,Mortality Rate Communicable,per 100k pop,30-70,All,MRC20,30,70,64,No
20,Bolivia (Plurinational State of),2008,253,Mortality Rate Communicable,per 100k pop,30-70,All,MRC21,30,70,68,No
