,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,993,Number of community and traditional health workers,Absolute,All,All,NOCATHW1,0,130,12,No
1,Algeria,2002,1062,Number of community and traditional health workers,Absolute,All,All,NOCATHW2,0,130,12,No
2,Australia,2006,1012,Number of community and traditional health workers,Absolute,All,All,NOCATHW3,0,130,36,No
3,Australia,2001,3812,Number of community and traditional health workers,Absolute,All,All,NOCATHW4,0,130,36,No
4,Australia,1996,708,Number of community and traditional health workers,Absolute,All,All,NOCATHW5,0,130,36,No
5,Bangladesh,2011,50221,Number of community and traditional health workers,Absolute,All,All,NOCATHW6,0,130,50,No
6,Bangladesh,2007,48692,Number of community and traditional health workers,Absolute,All,All,NOCATHW7,0,130,50,No
7,Bangladesh,2005,21000,Number of community and traditional health workers,Absolute,All,All,NOCATHW8,0,130,50,No
8,Bangladesh,2004,46202,Number of community and traditional health workers,Absolute,All,All,NOCATHW9,0,130,50,No
9,Belize,2009,158,Number of community and traditional health workers,Absolute,All,All,NOCATHW10,0,130,84,No
10,Benin,2004,88,Number of community and traditional health workers,Absolute,All,All,NOCATHW11,0,130,204,No
11,Bhutan,2012,641,Number of community and traditional health workers,Absolute,All,All,NOCATHW12,0,130,64,No
12,Bhutan,2008,54,Number of community and traditional health workers,Absolute,All,All,NOCATHW13,0,130,64,No
13,Bhutan,2007,237,Number of community and traditional health workers,Absolute,All,All,NOCATHW14,0,130,64,No
14,Bhutan,2004,464,Number of community and traditional health workers,Absolute,All,All,NOCATHW15,0,130,64,No
15,Bolivia (Plurinational State of),2001,1006,Number of community and traditional health workers,Absolute,All,All,NOCATHW16,0,130,68,No
16,Botswana,2006,920,Number of community and traditional health workers,Absolute,All,All,NOCATHW17,0,130,72,No
17,Botswana,2005,920,Number of community and traditional health workers,Absolute,All,All,NOCATHW18,0,130,72,No
18,Botswana,2003,867,Number of community and traditional health workers,Absolute,All,All,NOCATHW19,0,130,72,No
19,Botswana,2002,862,Number of community and traditional health workers,Absolute,All,All,NOCATHW20,0,130,72,No
20,Botswana,2001,821,Number of community and traditional health workers,Absolute,All,All,NOCATHW21,0,130,72,No
21,Botswana,2000,1269,Number of community and traditional health workers,Absolute,All,All,NOCATHW22,0,130,72,No
22,Botswana,1999,775,Number of community and traditional health workers,Absolute,All,All,NOCATHW23,0,130,72,No
23,Botswana,1998,742,Number of community and traditional health workers,Absolute,All,All,NOCATHW24,0,130,72,No
24,Burkina Faso,2010,1976,Number of community and traditional health workers,Absolute,All,All,NOCATHW25,0,130,854,No
25,Burkina Faso,2006,1238,Number of community and traditional health workers,Absolute,All,All,NOCATHW26,0,130,854,No
26,Burkina Faso,2004,1291,Number of community and traditional health workers,Absolute,All,All,NOCATHW27,0,130,854,No
27,Burundi,2004,657,Number of community and traditional health workers,Absolute,All,All,NOCATHW28,0,130,108,No
28,Cabo Verde,2004,65,Number of community and traditional health workers,Absolute,All,All,NOCATHW29,0,130,132,No
29,Cambodia,2004,1638,Number of community and traditional health workers,Absolute,All,All,NOCATHW30,0,130,116,No
30,Central African Republic,2009,1713,Number of community and traditional health workers,Absolute,All,All,NOCATHW31,0,130,140,No
31,Central African Republic,2008,1746,Number of community and traditional health workers,Absolute,All,All,NOCATHW32,0,130,140,No
32,Central African Republic,2004,211,Number of community and traditional health workers,Absolute,All,All,NOCATHW33,0,130,140,No
33,Chad,2004,268,Number of community and traditional health workers,Absolute,All,All,NOCATHW34,0,130,148,No
34,Chile,1992,280,Number of community and traditional health workers,Absolute,All,All,NOCATHW35,0,130,152,No
35,China,2010,1091863,Number of community and traditional health workers,Absolute,All,All,NOCATHW36,0,130,156,No
36,China,2009,1113331,Number of community and traditional health workers,Absolute,All,All,NOCATHW37,0,130,156,No
37,China,2001,109000,Number of community and traditional health workers,Absolute,All,All,NOCATHW38,0,130,156,No
38,Comoros,2004,41,Number of community and traditional health workers,Absolute,All,All,NOCATHW39,0,130,174,No
39,Congo,2004,124,Number of community and traditional health workers,Absolute,All,All,NOCATHW40,0,130,178,No
40,Cook Islands,2009,9,Number of community and traditional health workers,Absolute,All,All,NOCATHW41,0,130,184,No
41,Djibouti,2004,23,Number of community and traditional health workers,Absolute,All,All,NOCATHW42,0,130,262,No
42,Equatorial Guinea,2004,1275,Number of community and traditional health workers,Absolute,All,All,NOCATHW43,0,130,226,No
43,Estonia,2000,44,Number of community and traditional health workers,Absolute,All,All,NOCATHW44,0,130,233,No
44,Ethiopia,2009,30950,Number of community and traditional health workers,Absolute,All,All,NOCATHW45,0,130,231,No
45,Ethiopia,2009,30950,Number of community and traditional health workers,Absolute,All,All,NOCATHW45,0,130,230,No
46,Ethiopia,2008,24571,Number of community and traditional health workers,Absolute,All,All,NOCATHW46,0,130,231,No
47,Ethiopia,2008,24571,Number of community and traditional health workers,Absolute,All,All,NOCATHW46,0,130,230,No
48,Ethiopia,2007,17653,Number of community and traditional health workers,Absolute,All,All,NOCATHW47,0,130,231,No
49,Ethiopia,2007,17653,Number of community and traditional health workers,Absolute,All,All,NOCATHW47,0,130,230,No
50,Ethiopia,2006,8901,Number of community and traditional health workers,Absolute,All,All,NOCATHW48,0,130,231,No
51,Ethiopia,2006,8901,Number of community and traditional health workers,Absolute,All,All,NOCATHW48,0,130,230,No
52,Ethiopia,2005,2737,Number of community and traditional health workers,Absolute,All,All,NOCATHW49,0,130,231,No
53,Ethiopia,2005,2737,Number of community and traditional health workers,Absolute,All,All,NOCATHW49,0,130,230,No
