,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,2429,Number of environment and public health workers,Absolute,All,All,NOEAPHW1,0,130,12,No
1,Algeria,2002,2534,Number of environment and public health workers,Absolute,All,All,NOEAPHW2,0,130,12,No
2,Bahrain,2004,294,Number of environment and public health workers,Absolute,All,All,NOEAPHW3,0,130,48,No
3,Bangladesh,2011,5603,Number of environment and public health workers,Absolute,All,All,NOEAPHW4,0,130,50,No
4,Bangladesh,2005,6091,Number of environment and public health workers,Absolute,All,All,NOEAPHW5,0,130,50,No
5,Bangladesh,2004,5743,Number of environment and public health workers,Absolute,All,All,NOEAPHW6,0,130,50,No
6,Bangladesh,2002,1041,Number of environment and public health workers,Absolute,All,All,NOEAPHW7,0,130,50,No
7,Barbados,2005,194,Number of environment and public health workers,Absolute,All,All,NOEAPHW8,0,130,52,No
8,Barbados,2001,194,Number of environment and public health workers,Absolute,All,All,NOEAPHW9,0,130,52,No
9,Barbados,2000,244,Number of environment and public health workers,Absolute,All,All,NOEAPHW10,0,130,52,No
10,Barbados,1995,177,Number of environment and public health workers,Absolute,All,All,NOEAPHW11,0,130,52,No
11,Belize,2009,60,Number of environment and public health workers,Absolute,All,All,NOEAPHW12,0,130,84,No
12,Benin,2008,217,Number of environment and public health workers,Absolute,All,All,NOEAPHW13,0,130,204,No
13,Benin,2004,178,Number of environment and public health workers,Absolute,All,All,NOEAPHW14,0,130,204,No
14,Bhutan,2008,38,Number of environment and public health workers,Absolute,All,All,NOEAPHW15,0,130,64,No
15,Bhutan,2007,80,Number of environment and public health workers,Absolute,All,All,NOEAPHW16,0,130,64,No
16,Bhutan,2004,71,Number of environment and public health workers,Absolute,All,All,NOEAPHW17,0,130,64,No
17,Bolivia (Plurinational State of),2011,76,Number of environment and public health workers,Absolute,All,All,NOEAPHW18,0,130,68,No
18,Bolivia (Plurinational State of),2010,47,Number of environment and public health workers,Absolute,All,All,NOEAPHW19,0,130,68,No
19,Bolivia (Plurinational State of),2007,36,Number of environment and public health workers,Absolute,All,All,NOEAPHW20,0,130,68,No
20,Botswana,2004,172,Number of environment and public health workers,Absolute,All,All,NOEAPHW21,0,130,72,No
21,Brazil,2000,167080,Number of environment and public health workers,Absolute,All,All,NOEAPHW22,0,130,76,No
22,Burkina Faso,2006,36,Number of environment and public health workers,Absolute,All,All,NOEAPHW23,0,130,854,No
23,Burkina Faso,2004,46,Number of environment and public health workers,Absolute,All,All,NOEAPHW24,0,130,854,No
24,Cabo Verde,2004,9,Number of environment and public health workers,Absolute,All,All,NOEAPHW25,0,130,132,No
25,Cameroon,2004,28,Number of environment and public health workers,Absolute,All,All,NOEAPHW26,0,130,120,No
26,Canada,2008,1245,Number of environment and public health workers,Absolute,All,All,NOEAPHW27,0,130,124,No
27,Canada,2006,1375,Number of environment and public health workers,Absolute,All,All,NOEAPHW28,0,130,124,No
28,Canada,2004,1205,Number of environment and public health workers,Absolute,All,All,NOEAPHW29,0,130,124,No
29,Canada,2002,1131,Number of environment and public health workers,Absolute,All,All,NOEAPHW30,0,130,124,No
30,Canada,2001,1081,Number of environment and public health workers,Absolute,All,All,NOEAPHW31,0,130,124,No
31,Central African Republic,2009,227,Number of environment and public health workers,Absolute,All,All,NOEAPHW32,0,130,140,No
32,Central African Republic,2008,84,Number of environment and public health workers,Absolute,All,All,NOEAPHW33,0,130,140,No
33,Central African Republic,2004,55,Number of environment and public health workers,Absolute,All,All,NOEAPHW34,0,130,140,No
34,Chad,2004,230,Number of environment and public health workers,Absolute,All,All,NOEAPHW35,0,130,148,No
35,Chile,1992,350,Number of environment and public health workers,Absolute,All,All,NOEAPHW36,0,130,152,No
36,Comoros,2004,17,Number of environment and public health workers,Absolute,All,All,NOEAPHW37,0,130,174,No
37,Congo,2007,19,Number of environment and public health workers,Absolute,All,All,NOEAPHW38,0,130,178,No
38,Congo,2006,1027,Number of environment and public health workers,Absolute,All,All,NOEAPHW39,0,130,178,No
39,Congo,2004,9,Number of environment and public health workers,Absolute,All,All,NOEAPHW40,0,130,178,No
40,Cook Islands,2009,23,Number of environment and public health workers,Absolute,All,All,NOEAPHW41,0,130,184,No
41,Costa Rica,2000,1266,Number of environment and public health workers,Absolute,All,All,NOEAPHW42,0,130,188,No
42,Côte dIvoire,2008,1419,Number of environment and public health workers,Absolute,All,All,NOEAPHW43,0,130,384,No
43,Côte dIvoire,2004,155,Number of environment and public health workers,Absolute,All,All,NOEAPHW44,0,130,384,No
44,Cuba,2010,2794,Number of environment and public health workers,Absolute,All,All,NOEAPHW45,0,130,192,No
45,Cuba,2007,3419,Number of environment and public health workers,Absolute,All,All,NOEAPHW46,0,130,192,No
46,Cyprus,2008,95,Number of environment and public health workers,Absolute,All,All,NOEAPHW47,0,130,196,No
47,Cyprus,2006,88,Number of environment and public health workers,Absolute,All,All,NOEAPHW48,0,130,196,No
48,Democratic Peoples Republic of Korea,2003,2685,Number of environment and public health workers,Absolute,All,All,NOEAPHW49,0,130,408,No
49,Djibouti,2005,20,Number of environment and public health workers,Absolute,All,All,NOEAPHW50,0,130,262,No
50,Dominica,2001,65,Number of environment and public health workers,Absolute,All,All,NOEAPHW51,0,130,212,No
51,Egypt,2004,9531,Number of environment and public health workers,Absolute,All,All,NOEAPHW52,0,130,818,No
52,Equatorial Guinea,2004,18,Number of environment and public health workers,Absolute,All,All,NOEAPHW53,0,130,226,No
