,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Bangladesh,2011,7365,Number of medical assistants,Absolute,All,All,NOMAS1,0,130,50,No
1,Bangladesh,2005,4699,Number of medical assistants,Absolute,All,All,NOMAS2,0,130,50,No
2,Bangladesh,2004,5598,Number of medical assistants,Absolute,All,All,NOMAS3,0,130,50,No
3,Bhutan,2012,39,Number of medical assistants,Absolute,All,All,NOMAS4,0,130,64,No
4,Bhutan,2008,43,Number of medical assistants,Absolute,All,All,NOMAS5,0,130,64,No
5,Bhutan,2007,31,Number of medical assistants,Absolute,All,All,NOMAS6,0,130,64,No
6,Bhutan,2004,17,Number of medical assistants,Absolute,All,All,NOMAS7,0,130,64,No
7,Bolivia (Plurinational State of),2001,579,Number of medical assistants,Absolute,All,All,NOMAS8,0,130,68,No
8,Burkina Faso,2004,941,Number of medical assistants,Absolute,All,All,NOMAS9,0,130,854,No
9,Burundi,2004,942,Number of medical assistants,Absolute,All,All,NOMAS10,0,130,108,No
10,Cambodia,1998,1699,Number of medical assistants,Absolute,All,All,NOMAS11,0,130,116,No
11,Cambodia,1996,1458,Number of medical assistants,Absolute,All,All,NOMAS12,0,130,116,No
12,Central African Republic,2004,347,Number of medical assistants,Absolute,All,All,NOMAS13,0,130,140,No
13,Chad,2004,145,Number of medical assistants,Absolute,All,All,NOMAS14,0,130,148,No
14,China,2010,440419,Number of medical assistants,Absolute,All,All,NOMAS15,0,130,156,No
15,China,2009,423770,Number of medical assistants,Absolute,All,All,NOMAS16,0,130,156,No
16,Congo,2007,291,Number of medical assistants,Absolute,All,All,NOMAS17,0,130,178,No
17,Congo,2006,164,Number of medical assistants,Absolute,All,All,NOMAS18,0,130,178,No
18,Congo,2004,955,Number of medical assistants,Absolute,All,All,NOMAS19,0,130,178,No
19,Cook Islands,2009,2,Number of medical assistants,Absolute,All,All,NOMAS20,0,130,184,No
20,Costa Rica,2000,995,Number of medical assistants,Absolute,All,All,NOMAS21,0,130,188,No
21,Côte dIvoire,2008,568,Number of medical assistants,Absolute,All,All,NOMAS22,0,130,384,No
22,Côte dIvoire,2005,1269,Number of medical assistants,Absolute,All,All,NOMAS23,0,130,384,No
23,Côte dIvoire,2004,25,Number of medical assistants,Absolute,All,All,NOMAS24,0,130,384,No
24,Democratic Peoples Republic of Korea,2003,63780,Number of medical assistants,Absolute,All,All,NOMAS25,0,130,408,No
25,Democratic Republic of the Congo,2004,174,Number of medical assistants,Absolute,All,All,NOMAS26,0,130,180,No
26,Djibouti,1999,4,Number of medical assistants,Absolute,All,All,NOMAS27,0,130,262,No
27,Estonia,2000,153,Number of medical assistants,Absolute,All,All,NOMAS28,0,130,233,No
28,Ethiopia,2009,3092,Number of medical assistants,Absolute,All,All,NOMAS29,0,130,231,No
29,Ethiopia,2009,3092,Number of medical assistants,Absolute,All,All,NOMAS29,0,130,230,No
30,Ethiopia,2008,3381,Number of medical assistants,Absolute,All,All,NOMAS30,0,130,231,No
31,Ethiopia,2008,3381,Number of medical assistants,Absolute,All,All,NOMAS30,0,130,230,No
32,Ethiopia,2007,4148,Number of medical assistants,Absolute,All,All,NOMAS31,0,130,231,No
33,Ethiopia,2007,4148,Number of medical assistants,Absolute,All,All,NOMAS31,0,130,230,No
34,Ethiopia,2006,5515,Number of medical assistants,Absolute,All,All,NOMAS32,0,130,231,No
35,Ethiopia,2006,5515,Number of medical assistants,Absolute,All,All,NOMAS32,0,130,230,No
36,Ethiopia,2005,7139,Number of medical assistants,Absolute,All,All,NOMAS33,0,130,231,No
37,Ethiopia,2005,7139,Number of medical assistants,Absolute,All,All,NOMAS33,0,130,230,No
38,Ethiopia,2004,7311,Number of medical assistants,Absolute,All,All,NOMAS34,0,130,231,No
39,Ethiopia,2004,7311,Number of medical assistants,Absolute,All,All,NOMAS34,0,130,230,No
40,Ethiopia,2003,7311,Number of medical assistants,Absolute,All,All,NOMAS35,0,130,231,No
41,Ethiopia,2003,7311,Number of medical assistants,Absolute,All,All,NOMAS35,0,130,230,No
42,Georgia,2009,1325,Number of medical assistants,Absolute,All,All,NOMAS36,0,130,268,No
43,Georgia,2008,1719,Number of medical assistants,Absolute,All,All,NOMAS37,0,130,268,No
