,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,822,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS1,0,130,4,No
1,Algeria,2007,815,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS2,0,130,12,No
2,Algeria,2002,920,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS3,0,130,12,No
3,Bahamas,2008,22,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS4,0,130,44,No
4,Bahrain,2004,245,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS5,0,130,48,No
5,Bangladesh,2004,9411,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS6,0,130,50,No
6,Bhutan,2008,75,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS7,0,130,64,No
7,Bhutan,2007,77,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS8,0,130,64,No
8,Bhutan,2004,71,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS9,0,130,64,No
9,Bolivia (Plurinational State of),2001,2077,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS10,0,130,68,No
10,Botswana,2004,193,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS11,0,130,72,No
11,Brazil,2000,5785,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS12,0,130,76,No
12,Brazil,1991,6332,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS13,0,130,76,No
13,Burkina Faso,2010,155,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS14,0,130,854,No
14,Burkina Faso,2008,133,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS15,0,130,854,No
15,Burkina Faso,2006,88,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS16,0,130,854,No
16,Burkina Faso,2004,116,Number of pharmaceutical technician assistants,Absolute,All,All,NOPHTAS17,0,130,854,No
