,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,1163,Number of pharmacists,Absolute,All,All,NOOPH1,0,130,4,No
1,Afghanistan,2010,814,Number of pharmacists,Absolute,All,All,NOOPH2,0,130,4,No
2,Afghanistan,2009,847,Number of pharmacists,Absolute,All,All,NOOPH3,0,130,4,No
3,Afghanistan,2008,829,Number of pharmacists,Absolute,All,All,NOOPH4,0,130,4,No
4,Afghanistan,2007,830,Number of pharmacists,Absolute,All,All,NOOPH5,0,130,4,No
5,Afghanistan,2006,830,Number of pharmacists,Absolute,All,All,NOOPH6,0,130,4,No
6,Afghanistan,2005,900,Number of pharmacists,Absolute,All,All,NOOPH7,0,130,4,No
7,Afghanistan,2001,525,Number of pharmacists,Absolute,All,All,NOOPH8,0,130,4,No
8,Algeria,2007,7417,Number of pharmacists,Absolute,All,All,NOOPH9,0,130,12,No
9,Algeria,2005,6104,Number of pharmacists,Absolute,All,All,NOOPH10,0,130,12,No
10,Algeria,2002,5413,Number of pharmacists,Absolute,All,All,NOOPH11,0,130,12,No
11,Andorra,2003,68,Number of pharmacists,Absolute,All,All,NOOPH12,0,130,20,No
12,Angola,2004,919,Number of pharmacists,Absolute,All,All,NOOPH13,0,130,24,No
13,Angola,1997,24,Number of pharmacists,Absolute,All,All,NOOPH14,0,130,24,No
14,Argentina,2004,19510,Number of pharmacists,Absolute,All,All,NOOPH15,0,130,32,No
15,Argentina,1998,15300,Number of pharmacists,Absolute,All,All,NOOPH16,0,130,32,No
16,Armenia,2012,125,Number of pharmacists,Absolute,All,All,NOOPH17,0,130,51,No
17,Australia,2012,23294,Number of pharmacists,Absolute,All,All,NOOPH18,0,130,36,No
18,Australia,2011,24636,Number of pharmacists,Absolute,All,All,NOOPH19,0,130,36,No
19,Australia,2010,19237,Number of pharmacists,Absolute,All,All,NOOPH20,0,130,36,No
20,Australia,2009,21800,Number of pharmacists,Absolute,All,All,NOOPH21,0,130,36,No
21,Australia,2006,15339,Number of pharmacists,Absolute,All,All,NOOPH22,0,130,36,No
22,Australia,2001,13956,Number of pharmacists,Absolute,All,All,NOOPH23,0,130,36,No
23,Australia,1996,12311,Number of pharmacists,Absolute,All,All,NOOPH24,0,130,36,No
24,Austria,2012,5823,Number of pharmacists,Absolute,All,All,NOOPH25,0,130,40,No
25,Austria,2003,4869,Number of pharmacists,Absolute,All,All,NOOPH26,0,130,40,No
26,Azerbaijan,2012,1668,Number of pharmacists,Absolute,All,All,NOOPH27,0,130,31,No
27,Bahamas,2008,138,Number of pharmacists,Absolute,All,All,NOOPH28,0,130,44,No
28,Bahrain,2011,193,Number of pharmacists,Absolute,All,All,NOOPH29,0,130,48,No
29,Bahrain,2010,196,Number of pharmacists,Absolute,All,All,NOOPH30,0,130,48,No
30,Bahrain,2009,186,Number of pharmacists,Absolute,All,All,NOOPH31,0,130,48,No
31,Bahrain,2008,186,Number of pharmacists,Absolute,All,All,NOOPH32,0,130,48,No
32,Bahrain,2007,180,Number of pharmacists,Absolute,All,All,NOOPH33,0,130,48,No
33,Bahrain,2004,215,Number of pharmacists,Absolute,All,All,NOOPH34,0,130,48,No
34,Bangladesh,2007,9411,Number of pharmacists,Absolute,All,All,NOOPH35,0,130,50,No
35,Bangladesh,2002,7622,Number of pharmacists,Absolute,All,All,NOOPH36,0,130,50,No
36,Barbados,2005,251,Number of pharmacists,Absolute,All,All,NOOPH37,0,130,52,No
37,Barbados,2001,185,Number of pharmacists,Absolute,All,All,NOOPH38,0,130,52,No
38,Barbados,1995,169,Number of pharmacists,Absolute,All,All,NOOPH39,0,130,52,No
39,Belarus,2011,3006,Number of pharmacists,Absolute,All,All,NOOPH40,0,130,112,No
40,Belgium,2011,12845,Number of pharmacists,Absolute,All,All,NOOPH41,0,130,56,No
41,Belgium,2010,16368,Number of pharmacists,Absolute,All,All,NOOPH42,0,130,56,No
42,Belgium,2002,11775,Number of pharmacists,Absolute,All,All,NOOPH43,0,130,56,No
43,Belize,2009,112,Number of pharmacists,Absolute,All,All,NOOPH44,0,130,84,No
44,Benin,2008,20,Number of pharmacists,Absolute,All,All,NOOPH45,0,130,204,No
45,Benin,2004,11,Number of pharmacists,Absolute,All,All,NOOPH46,0,130,204,No
46,Bhutan,2012,11,Number of pharmacists,Absolute,All,All,NOOPH47,0,130,64,No
47,Bhutan,2008,14,Number of pharmacists,Absolute,All,All,NOOPH48,0,130,64,No
48,Bhutan,2007,10,Number of pharmacists,Absolute,All,All,NOOPH49,0,130,64,No
49,Bhutan,2004,8,Number of pharmacists,Absolute,All,All,NOOPH50,0,130,64,No
50,Bolivia (Plurinational State of),2011,660,Number of pharmacists,Absolute,All,All,NOOPH51,0,130,68,No
51,Bolivia (Plurinational State of),2010,567,Number of pharmacists,Absolute,All,All,NOOPH52,0,130,68,No
52,Bolivia (Plurinational State of),2007,331,Number of pharmacists,Absolute,All,All,NOOPH53,0,130,68,No
53,Bolivia (Plurinational State of),2001,2593,Number of pharmacists,Absolute,All,All,NOOPH54,0,130,68,No
54,Botswana,2004,140,Number of pharmacists,Absolute,All,All,NOOPH55,0,130,72,No
