,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,4966,Number of radiographers,Absolute,All,All,NOORAD1,0,130,12,No
1,Algeria,2002,3385,Number of radiographers,Absolute,All,All,NOORAD2,0,130,12,No
2,Angola,2004,653,Number of radiographers,Absolute,All,All,NOORAD3,0,130,24,No
3,Australia,2006,10477,Number of radiographers,Absolute,All,All,NOORAD4,0,130,36,No
4,Australia,2001,8326,Number of radiographers,Absolute,All,All,NOORAD5,0,130,36,No
5,Australia,1996,6513,Number of radiographers,Absolute,All,All,NOORAD6,0,130,36,No
6,Bahamas,2008,57,Number of radiographers,Absolute,All,All,NOORAD7,0,130,44,No
7,Bahrain,2011,117,Number of radiographers,Absolute,All,All,NOORAD8,0,130,48,No
8,Bahrain,2010,117,Number of radiographers,Absolute,All,All,NOORAD9,0,130,48,No
9,Bahrain,2009,104,Number of radiographers,Absolute,All,All,NOORAD10,0,130,48,No
10,Bahrain,2008,107,Number of radiographers,Absolute,All,All,NOORAD11,0,130,48,No
11,Bahrain,2004,149,Number of radiographers,Absolute,All,All,NOORAD12,0,130,48,No
12,Bangladesh,2005,674,Number of radiographers,Absolute,All,All,NOORAD13,0,130,50,No
13,Bangladesh,2004,1213,Number of radiographers,Absolute,All,All,NOORAD14,0,130,50,No
14,Bangladesh,2002,1456,Number of radiographers,Absolute,All,All,NOORAD15,0,130,50,No
15,Barbados,2005,12,Number of radiographers,Absolute,All,All,NOORAD16,0,130,52,No
16,Barbados,2001,20,Number of radiographers,Absolute,All,All,NOORAD17,0,130,52,No
17,Barbados,1995,30,Number of radiographers,Absolute,All,All,NOORAD18,0,130,52,No
18,Benin,2004,76,Number of radiographers,Absolute,All,All,NOORAD19,0,130,204,No
19,Bhutan,2007,41,Number of radiographers,Absolute,All,All,NOORAD20,0,130,64,No
20,Bhutan,2004,34,Number of radiographers,Absolute,All,All,NOORAD21,0,130,64,No
21,Bolivia (Plurinational State of),2011,230,Number of radiographers,Absolute,All,All,NOORAD22,0,130,68,No
22,Bolivia (Plurinational State of),2010,178,Number of radiographers,Absolute,All,All,NOORAD23,0,130,68,No
23,Bolivia (Plurinational State of),2007,115,Number of radiographers,Absolute,All,All,NOORAD24,0,130,68,No
24,Bolivia (Plurinational State of),2001,540,Number of radiographers,Absolute,All,All,NOORAD25,0,130,68,No
25,Botswana,2004,61,Number of radiographers,Absolute,All,All,NOORAD26,0,130,72,No
26,Brunei Darussalam,2011,70,Number of radiographers,Absolute,All,All,NOORAD27,0,130,96,No
27,Burkina Faso,2010,106,Number of radiographers,Absolute,All,All,NOORAD28,0,130,854,No
28,Burkina Faso,2008,92,Number of radiographers,Absolute,All,All,NOORAD29,0,130,854,No
29,Burkina Faso,2006,84,Number of radiographers,Absolute,All,All,NOORAD30,0,130,854,No
30,Burkina Faso,2004,82,Number of radiographers,Absolute,All,All,NOORAD31,0,130,854,No
31,Burundi,2004,5,Number of radiographers,Absolute,All,All,NOORAD32,0,130,108,No
32,Cabo Verde,2010,21,Number of radiographers,Absolute,All,All,NOORAD33,0,130,132,No
33,Cabo Verde,2009,22,Number of radiographers,Absolute,All,All,NOORAD34,0,130,132,No
34,Cabo Verde,2007,22,Number of radiographers,Absolute,All,All,NOORAD35,0,130,132,No
35,Cabo Verde,2006,21,Number of radiographers,Absolute,All,All,NOORAD36,0,130,132,No
36,Cabo Verde,2004,20,Number of radiographers,Absolute,All,All,NOORAD37,0,130,132,No
37,Cambodia,1998,22,Number of radiographers,Absolute,All,All,NOORAD38,0,130,116,No
38,Cambodia,1996,20,Number of radiographers,Absolute,All,All,NOORAD39,0,130,116,No
39,Canada,2010,18498,Number of radiographers,Absolute,All,All,NOORAD40,0,130,124,No
40,Canada,2009,17949,Number of radiographers,Absolute,All,All,NOORAD41,0,130,124,No
41,Canada,2008,17457,Number of radiographers,Absolute,All,All,NOORAD42,0,130,124,No
42,Canada,2006,16464,Number of radiographers,Absolute,All,All,NOORAD43,0,130,124,No
43,Canada,2004,15693,Number of radiographers,Absolute,All,All,NOORAD44,0,130,124,No
44,Canada,2002,14780,Number of radiographers,Absolute,All,All,NOORAD45,0,130,124,No
45,Canada,2001,14593,Number of radiographers,Absolute,All,All,NOORAD46,0,130,124,No
46,Canada,1998,14164,Number of radiographers,Absolute,All,All,NOORAD47,0,130,124,No
47,Central African Republic,2004,9,Number of radiographers,Absolute,All,All,NOORAD48,0,130,140,No
48,Chad,2004,11,Number of radiographers,Absolute,All,All,NOORAD49,0,130,148,No
49,Comoros,2004,4,Number of radiographers,Absolute,All,All,NOORAD50,0,130,174,No
50,Congo,2007,31,Number of radiographers,Absolute,All,All,NOORAD51,0,130,178,No
51,Congo,2004,9,Number of radiographers,Absolute,All,All,NOORAD52,0,130,178,No
52,Congo,1998,178,Number of radiographers,Absolute,All,All,NOORAD53,0,130,178,No
53,Cook Islands,2009,2,Number of radiographers,Absolute,All,All,NOORAD54,0,130,184,No
54,Côte dIvoire,2004,232,Number of radiographers,Absolute,All,All,NOORAD55,0,130,384,No
55,Cuba,2010,3326,Number of radiographers,Absolute,All,All,NOORAD56,0,130,192,No
56,Cuba,2007,3068,Number of radiographers,Absolute,All,All,NOORAD57,0,130,192,No
57,Cyprus,2008,115,Number of radiographers,Absolute,All,All,NOORAD58,0,130,196,No
58,Cyprus,2006,107,Number of radiographers,Absolute,All,All,NOORAD59,0,130,196,No
