,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,12,Cholera,Absolute,All,All,CHONRC1,0,130,4,No
1,Afghanistan,2011,3733,Cholera,Absolute,All,All,CHONRC2,0,130,4,No
2,Afghanistan,2010,2369,Cholera,Absolute,All,All,CHONRC3,0,130,4,No
3,Afghanistan,2009,662,Cholera,Absolute,All,All,CHONRC4,0,130,4,No
4,Afghanistan,2008,4384,Cholera,Absolute,All,All,CHONRC5,0,130,4,No
5,Afghanistan,2005,33,Cholera,Absolute,All,All,CHONRC6,0,130,4,No
6,Afghanistan,2003,41,Cholera,Absolute,All,All,CHONRC7,0,130,4,No
7,Afghanistan,2002,3,Cholera,Absolute,All,All,CHONRC8,0,130,4,No
8,Afghanistan,2001,4499,Cholera,Absolute,All,All,CHONRC9,0,130,4,No
9,Afghanistan,2000,4330,Cholera,Absolute,All,All,CHONRC10,0,130,4,No
10,Afghanistan,1999,24639,Cholera,Absolute,All,All,CHONRC11,0,130,4,No
11,Afghanistan,1998,10000,Cholera,Absolute,All,All,CHONRC12,0,130,4,No
12,Afghanistan,1997,4170,Cholera,Absolute,All,All,CHONRC13,0,130,4,No
13,Afghanistan,1995,19903,Cholera,Absolute,All,All,CHONRC14,0,130,4,No
14,Afghanistan,1994,38735,Cholera,Absolute,All,All,CHONRC15,0,130,4,No
15,Afghanistan,1993,37046,Cholera,Absolute,All,All,CHONRC16,0,130,4,No
16,Afghanistan,1965,218,Cholera,Absolute,All,All,CHONRC17,0,130,4,No
17,Afghanistan,1960,887,Cholera,Absolute,All,All,CHONRC18,0,130,4,No
18,Albania,1994,626,Cholera,Absolute,All,All,CHONRC19,0,130,8,No
19,Algeria,2006,0,Cholera,Absolute,All,All,CHONRC20,0,130,12,No
20,Algeria,2005,0,Cholera,Absolute,All,All,CHONRC21,0,130,12,No
21,Algeria,1994,118,Cholera,Absolute,All,All,CHONRC22,0,130,12,No
22,Algeria,1992,69,Cholera,Absolute,All,All,CHONRC23,0,130,12,No
23,Algeria,1990,1299,Cholera,Absolute,All,All,CHONRC24,0,130,12,No
24,Algeria,1989,393,Cholera,Absolute,All,All,CHONRC25,0,130,12,No
25,Algeria,1988,699,Cholera,Absolute,All,All,CHONRC26,0,130,12,No
26,Algeria,1987,1507,Cholera,Absolute,All,All,CHONRC27,0,130,12,No
