,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2009,0.5,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE1,0,130,4,No
1,Afghanistan,2008,0.413,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE2,0,130,4,No
2,Afghanistan,2007,0.416,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE3,0,130,4,No
3,Afghanistan,2006,0.374,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE4,0,130,4,No
4,Afghanistan,2005,0.5,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE5,0,130,4,No
5,Afghanistan,2001,0.215,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE6,0,130,4,No
6,Albania,2012,3.99,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE7,0,130,8,No
7,Albania,1994,0.588,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE8,0,130,8,No
8,Algeria,2007,1.947,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE9,0,130,12,No
9,Algeria,2002,2.231,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE10,0,130,12,No
10,Andorra,2003,3.258,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE11,0,130,20,No
11,Angola,2009,1.66,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE12,0,130,24,No
12,Angola,2004,1.313,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE13,0,130,24,No
13,Angola,1997,1.19,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE14,0,130,24,No
14,Antigua and Barbuda,1999,3.282,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE15,0,130,28,No
15,Argentina,2004,0.481,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE16,0,130,32,No
16,Argentina,1998,0.802,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE17,0,130,32,No
17,Armenia,2012,4.906,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE18,0,130,51,No
18,Australia,2011,10.648,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE19,0,130,36,No
19,Australia,2009,9.589,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE20,0,130,36,No
20,Australia,2006,10.907,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE21,0,130,36,No
21,Australia,2001,9.706,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE22,0,130,36,No
22,Australia,1996,10.345,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE23,0,130,36,No
23,Austria,2011,7.914,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE24,0,130,40,No
24,Austria,2003,9.384,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE25,0,130,40,No
25,Azerbaijan,2012,6.687,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE26,0,130,31,No
26,Bahamas,2008,4.14,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE27,0,130,44,No
27,Bahamas,1998,4.47,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE28,0,130,44,No
28,Bahrain,2011,2.412,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE29,0,130,48,No
29,Bahrain,2010,3.858,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE30,0,130,48,No
30,Bahrain,2009,3.843,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE31,0,130,48,No
31,Bahrain,2008,3.733,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE32,0,130,48,No
32,Bahrain,2007,5.798,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE33,0,130,48,No
33,Bahrain,2005,5.296,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE34,0,130,48,No
34,Bahrain,2004,4.802,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE35,0,130,48,No
35,Bangladesh,2011,0.218,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE36,0,130,50,No
36,Bangladesh,2007,0.272,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE37,0,130,50,No
37,Bangladesh,2006,0.277,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE38,0,130,50,No
38,Bangladesh,2005,0.278,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE39,0,130,50,No
39,Bangladesh,2004,0.313,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE40,0,130,50,No
40,Bangladesh,2003,0.253,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE41,0,130,50,No
41,Barbados,2005,4.856,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE42,0,130,52,No
42,Barbados,2001,5.896,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE43,0,130,52,No
43,Barbados,2000,5.925,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE44,0,130,52,No
44,Barbados,1995,5.171,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE45,0,130,52,No
45,Belarus,2011,10.529,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE46,0,130,112,No
46,Belgium,2010,15.784,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE47,0,130,56,No
47,Belgium,2003,5.829,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE48,0,130,56,No
48,Belgium,2001,0.643,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE49,0,130,56,No
49,Belize,2009,1.959,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE50,0,130,84,No
50,Belize,2000,1.263,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE51,0,130,84,No
51,Benin,2008,0.771,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE52,0,130,204,No
52,Benin,2004,0.837,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE53,0,130,204,No
53,Bhutan,2012,0.981,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE54,0,130,64,No
54,Bhutan,2008,0.288,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE55,0,130,64,No
55,Bhutan,2007,0.241,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE56,0,130,64,No
56,Bhutan,2004,0.222,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE57,0,130,64,No
57,Bolivia (Plurinational State of),2011,1.005,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE58,0,130,68,No
58,Bolivia (Plurinational State of),2010,0.834,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE59,0,130,68,No
59,Bolivia (Plurinational State of),2007,0.61,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE60,0,130,68,No
60,Bolivia (Plurinational State of),2001,2.133,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE61,0,130,68,No
61,Botswana,2006,2.844,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE62,0,130,72,No
62,Botswana,2005,2.531,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE63,0,130,72,No
63,Botswana,2004,2.648,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE64,0,130,72,No
64,Botswana,2003,2.493,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE65,0,130,72,No
65,Botswana,2002,2.342,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE66,0,130,72,No
66,Botswana,2001,2.282,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE67,0,130,72,No
67,Botswana,2000,2.504,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE68,0,130,72,No
68,Botswana,1999,2.942,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE69,0,130,72,No
69,Botswana,1998,2.565,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE70,0,130,72,No
70,Brazil,2013,7.601,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE71,0,130,76,No
71,Brazil,2010,7.344,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE72,0,130,76,No
72,Brazil,2008,6.419,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE73,0,130,76,No
73,Brazil,2007,6.5,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE74,0,130,76,No
74,Brazil,2006,3.762,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE75,0,130,76,No
75,Brazil,2005,3.776,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE76,0,130,76,No
76,Brazil,2004,3.798,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE77,0,130,76,No
77,Brazil,2000,3.837,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE78,0,130,76,No
78,Brazil,1991,3.185,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE79,0,130,76,No
79,Brunei Darussalam,2011,7.73,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE80,0,130,96,No
80,Brunei Darussalam,2010,7.022,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE81,0,130,96,No
81,Brunei Darussalam,2008,4.877,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE82,0,130,96,No
82,Brunei Darussalam,2007,4.91,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE83,0,130,96,No
83,Brunei Darussalam,2002,6.057,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE84,0,130,96,No
84,Brunei Darussalam,2000,3.88,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE85,0,130,96,No
85,Bulgaria,2011,4.684,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE86,0,130,100,No
86,Burkina Faso,2010,0.565,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE87,0,130,854,No
87,Burkina Faso,2008,0.729,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE88,0,130,854,No
88,Burkina Faso,2006,0.424,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE89,0,130,854,No
89,Burkina Faso,2004,0.49,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE90,0,130,854,No
90,Burundi,2004,0.191,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE91,0,130,108,No
91,Cabo Verde,2010,0.453,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE92,0,130,132,No
92,Cabo Verde,2009,0.458,Nursing and midwifery personnel density,per 1k pop,All,All,NUAMIPEDE93,0,130,132,No
