,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,0.341,Other health workers density,per 1k pop,All,All,OTHWOD1,0,130,4,No
1,Afghanistan,2009,0.358,Other health workers density,per 1k pop,All,All,OTHWOD2,0,130,4,No
2,Afghanistan,2008,0.363,Other health workers density,per 1k pop,All,All,OTHWOD3,0,130,4,No
3,Algeria,2007,3.315,Other health workers density,per 1k pop,All,All,OTHWOD4,0,130,12,No
4,Algeria,2005,3.018,Other health workers density,per 1k pop,All,All,OTHWOD5,0,130,12,No
5,Algeria,2002,0.181,Other health workers density,per 1k pop,All,All,OTHWOD6,0,130,12,No
6,Angola,2009,0.305,Other health workers density,per 1k pop,All,All,OTHWOD7,0,130,24,No
7,Angola,2004,0.018,Other health workers density,per 1k pop,All,All,OTHWOD8,0,130,24,No
8,Argentina,2004,2.046,Other health workers density,per 1k pop,All,All,OTHWOD9,0,130,32,No
9,Armenia,2012,1.688,Other health workers density,per 1k pop,All,All,OTHWOD10,0,130,51,No
10,Australia,2012,0.636,Other health workers density,per 1k pop,All,All,OTHWOD11,0,130,36,No
11,Australia,2011,0.746,Other health workers density,per 1k pop,All,All,OTHWOD12,0,130,36,No
12,Australia,2010,0.961,Other health workers density,per 1k pop,All,All,OTHWOD13,0,130,36,No
13,Australia,2009,4.611,Other health workers density,per 1k pop,All,All,OTHWOD14,0,130,36,No
14,Australia,2006,10.448,Other health workers density,per 1k pop,All,All,OTHWOD15,0,130,36,No
15,Australia,2001,1.981,Other health workers density,per 1k pop,All,All,OTHWOD16,0,130,36,No
16,Australia,1996,6.675,Other health workers density,per 1k pop,All,All,OTHWOD17,0,130,36,No
17,Austria,2011,0.953,Other health workers density,per 1k pop,All,All,OTHWOD18,0,130,40,No
18,Azerbaijan,2012,0.035,Other health workers density,per 1k pop,All,All,OTHWOD19,0,130,31,No
19,Bahamas,2008,0.426,Other health workers density,per 1k pop,All,All,OTHWOD20,0,130,44,No
20,Bahrain,2011,0.265,Other health workers density,per 1k pop,All,All,OTHWOD21,0,130,48,No
21,Bahrain,2010,0.442,Other health workers density,per 1k pop,All,All,OTHWOD22,0,130,48,No
22,Bahrain,2009,0.413,Other health workers density,per 1k pop,All,All,OTHWOD23,0,130,48,No
23,Bahrain,2008,0.396,Other health workers density,per 1k pop,All,All,OTHWOD24,0,130,48,No
24,Bahrain,2004,1.896,Other health workers density,per 1k pop,All,All,OTHWOD25,0,130,48,No
25,Bangladesh,2011,0.053,Other health workers density,per 1k pop,All,All,OTHWOD26,0,130,50,No
26,Bangladesh,2005,0.046,Other health workers density,per 1k pop,All,All,OTHWOD27,0,130,50,No
27,Bangladesh,2004,0.039,Other health workers density,per 1k pop,All,All,OTHWOD28,0,130,50,No
28,Bangladesh,2002,0.004,Other health workers density,per 1k pop,All,All,OTHWOD29,0,130,50,No
29,Barbados,2005,0.426,Other health workers density,per 1k pop,All,All,OTHWOD30,0,130,52,No
30,Barbados,2001,0.489,Other health workers density,per 1k pop,All,All,OTHWOD31,0,130,52,No
31,Barbados,2000,7.936,Other health workers density,per 1k pop,All,All,OTHWOD32,0,130,52,No
32,Barbados,1995,0.125,Other health workers density,per 1k pop,All,All,OTHWOD33,0,130,52,No
33,Belgium,2011,1.704,Other health workers density,per 1k pop,All,All,OTHWOD34,0,130,56,No
34,Belgium,2010,9.036,Other health workers density,per 1k pop,All,All,OTHWOD35,0,130,56,No
35,Belgium,2009,8.203,Other health workers density,per 1k pop,All,All,OTHWOD36,0,130,56,No
36,Belgium,2008,7.097,Other health workers density,per 1k pop,All,All,OTHWOD37,0,130,56,No
37,Belize,2009,0.433,Other health workers density,per 1k pop,All,All,OTHWOD38,0,130,84,No
38,Benin,2008,0.011,Other health workers density,per 1k pop,All,All,OTHWOD39,0,130,204,No
39,Benin,2004,0.019,Other health workers density,per 1k pop,All,All,OTHWOD40,0,130,204,No
40,Bhutan,2012,1.151,Other health workers density,per 1k pop,All,All,OTHWOD41,0,130,64,No
41,Bhutan,2008,0.414,Other health workers density,per 1k pop,All,All,OTHWOD42,0,130,64,No
42,Bhutan,2007,0.184,Other health workers density,per 1k pop,All,All,OTHWOD43,0,130,64,No
43,Bhutan,2004,0.062,Other health workers density,per 1k pop,All,All,OTHWOD44,0,130,64,No
44,Bolivia (Plurinational State of),2011,0.173,Other health workers density,per 1k pop,All,All,OTHWOD45,0,130,68,No
45,Bolivia (Plurinational State of),2010,0.13,Other health workers density,per 1k pop,All,All,OTHWOD46,0,130,68,No
46,Bolivia (Plurinational State of),2007,0.089,Other health workers density,per 1k pop,All,All,OTHWOD47,0,130,68,No
47,Bolivia (Plurinational State of),2001,0.587,Other health workers density,per 1k pop,All,All,OTHWOD48,0,130,68,No
48,Bosnia and Herzegovina,2010,0.244,Other health workers density,per 1k pop,All,All,OTHWOD49,0,130,70,No
49,Botswana,2004,0.462,Other health workers density,per 1k pop,All,All,OTHWOD50,0,130,72,No
50,Brazil,2009,0.323,Other health workers density,per 1k pop,All,All,OTHWOD51,0,130,76,No
51,Brazil,2008,1.109,Other health workers density,per 1k pop,All,All,OTHWOD52,0,130,76,No
52,Brazil,2007,0.197,Other health workers density,per 1k pop,All,All,OTHWOD53,0,130,76,No
53,Brazil,2006,0.198,Other health workers density,per 1k pop,All,All,OTHWOD54,0,130,76,No
54,Brazil,2005,0.156,Other health workers density,per 1k pop,All,All,OTHWOD55,0,130,76,No
55,Brazil,2004,0.153,Other health workers density,per 1k pop,All,All,OTHWOD56,0,130,76,No
56,Brazil,2000,1.115,Other health workers density,per 1k pop,All,All,OTHWOD57,0,130,76,No
