,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,47.42,Population Proportion under 15,Percent,<15,All,PP15U1,0,15,4,No
1,Afghanistan,2011,48.08,Population Proportion under 15,Percent,<15,All,PP15U2,0,15,4,No
2,Afghanistan,2010,48.6,Population Proportion under 15,Percent,<15,All,PP15U3,0,15,4,No
3,Afghanistan,2009,48.96,Population Proportion under 15,Percent,<15,All,PP15U4,0,15,4,No
4,Afghanistan,2008,49.17,Population Proportion under 15,Percent,<15,All,PP15U5,0,15,4,No
5,Afghanistan,2007,49.25,Population Proportion under 15,Percent,<15,All,PP15U6,0,15,4,No
6,Afghanistan,2006,49.28,Population Proportion under 15,Percent,<15,All,PP15U7,0,15,4,No
7,Afghanistan,2005,49.31,Population Proportion under 15,Percent,<15,All,PP15U8,0,15,4,No
8,Afghanistan,2004,49.37,Population Proportion under 15,Percent,<15,All,PP15U9,0,15,4,No
9,Afghanistan,2003,49.45,Population Proportion under 15,Percent,<15,All,PP15U10,0,15,4,No
10,Afghanistan,2002,49.52,Population Proportion under 15,Percent,<15,All,PP15U11,0,15,4,No
11,Afghanistan,2001,49.54,Population Proportion under 15,Percent,<15,All,PP15U12,0,15,4,No
12,Afghanistan,2000,49.46,Population Proportion under 15,Percent,<15,All,PP15U13,0,15,4,No
13,Afghanistan,1999,49.27,Population Proportion under 15,Percent,<15,All,PP15U14,0,15,4,No
14,Afghanistan,1998,48.98,Population Proportion under 15,Percent,<15,All,PP15U15,0,15,4,No
15,Afghanistan,1997,48.64,Population Proportion under 15,Percent,<15,All,PP15U16,0,15,4,No
16,Afghanistan,1996,48.35,Population Proportion under 15,Percent,<15,All,PP15U17,0,15,4,No
17,Afghanistan,1995,48.16,Population Proportion under 15,Percent,<15,All,PP15U18,0,15,4,No
18,Afghanistan,1994,48.1,Population Proportion under 15,Percent,<15,All,PP15U19,0,15,4,No
19,Afghanistan,1993,48.16,Population Proportion under 15,Percent,<15,All,PP15U20,0,15,4,No
20,Afghanistan,1992,48.33,Population Proportion under 15,Percent,<15,All,PP15U21,0,15,4,No
21,Afghanistan,1991,48.52,Population Proportion under 15,Percent,<15,All,PP15U22,0,15,4,No
22,Afghanistan,1990,48.66,Population Proportion under 15,Percent,<15,All,PP15U23,0,15,4,No
23,Albania,2012,21.33,Population Proportion under 15,Percent,<15,All,PP15U24,0,15,8,No
24,Albania,2011,22.08,Population Proportion under 15,Percent,<15,All,PP15U25,0,15,8,No
25,Albania,2010,22.83,Population Proportion under 15,Percent,<15,All,PP15U26,0,15,8,No
26,Albania,2009,23.57,Population Proportion under 15,Percent,<15,All,PP15U27,0,15,8,No
27,Albania,2008,24.29,Population Proportion under 15,Percent,<15,All,PP15U28,0,15,8,No
28,Albania,2007,25.01,Population Proportion under 15,Percent,<15,All,PP15U29,0,15,8,No
29,Albania,2006,25.75,Population Proportion under 15,Percent,<15,All,PP15U30,0,15,8,No
30,Albania,2005,26.53,Population Proportion under 15,Percent,<15,All,PP15U31,0,15,8,No
31,Albania,2004,27.34,Population Proportion under 15,Percent,<15,All,PP15U32,0,15,8,No
32,Albania,2003,28.16,Population Proportion under 15,Percent,<15,All,PP15U33,0,15,8,No
33,Albania,2002,28.96,Population Proportion under 15,Percent,<15,All,PP15U34,0,15,8,No
