,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,81,Population using solid fuels,Percent,All,All,POPUSF1,0,130,4,No
1,Albania,2012,38,Population using solid fuels,Percent,All,All,POPUSF2,0,130,8,No
2,Algeria,2012,0,Population using solid fuels,Percent,All,All,POPUSF3,0,130,12,No
3,Andorra,2012,0,Population using solid fuels,Percent,All,All,POPUSF4,0,130,20,No
4,Angola,2012,56,Population using solid fuels,Percent,All,All,POPUSF5,0,130,24,No
5,Antigua and Barbuda,2012,0,Population using solid fuels,Percent,All,All,POPUSF6,0,130,28,No
6,Argentina,2012,1,Population using solid fuels,Percent,All,All,POPUSF7,0,130,32,No
7,Armenia,2012,7,Population using solid fuels,Percent,All,All,POPUSF8,0,130,51,No
8,Australia,2012,0,Population using solid fuels,Percent,All,All,POPUSF9,0,130,36,No
9,Austria,2012,0,Population using solid fuels,Percent,All,All,POPUSF10,0,130,40,No
10,Azerbaijan,2012,11,Population using solid fuels,Percent,All,All,POPUSF11,0,130,31,No
11,Bahamas,2012,0,Population using solid fuels,Percent,All,All,POPUSF12,0,130,44,No
12,Bahrain,2012,0,Population using solid fuels,Percent,All,All,POPUSF13,0,130,48,No
13,Bangladesh,2012,89,Population using solid fuels,Percent,All,All,POPUSF14,0,130,50,No
14,Barbados,2012,0,Population using solid fuels,Percent,All,All,POPUSF15,0,130,52,No
15,Belarus,2012,0,Population using solid fuels,Percent,All,All,POPUSF16,0,130,112,No
16,Belgium,2012,0,Population using solid fuels,Percent,All,All,POPUSF17,0,130,56,No
17,Belize,2012,14,Population using solid fuels,Percent,All,All,POPUSF18,0,130,84,No
18,Benin,2012,94,Population using solid fuels,Percent,All,All,POPUSF19,0,130,204,No
19,Bhutan,2012,37,Population using solid fuels,Percent,All,All,POPUSF20,0,130,64,No
20,Bolivia (Plurinational State of),2012,25,Population using solid fuels,Percent,All,All,POPUSF21,0,130,68,No
21,Bosnia and Herzegovina,2012,58,Population using solid fuels,Percent,All,All,POPUSF22,0,130,70,No
22,Botswana,2012,37,Population using solid fuels,Percent,All,All,POPUSF23,0,130,72,No
23,Brazil,2012,6,Population using solid fuels,Percent,All,All,POPUSF24,0,130,76,No
24,Brunei Darussalam,2012,0,Population using solid fuels,Percent,All,All,POPUSF25,0,130,96,No
25,Bulgaria,2012,12,Population using solid fuels,Percent,All,All,POPUSF26,0,130,100,No
26,Burkina Faso,2012,95,Population using solid fuels,Percent,All,All,POPUSF27,0,130,854,No
27,Burundi,2012,98,Population using solid fuels,Percent,All,All,POPUSF28,0,130,108,No
28,Cabo Verde,2012,31,Population using solid fuels,Percent,All,All,POPUSF29,0,130,132,No
29,Cambodia,2012,89,Population using solid fuels,Percent,All,All,POPUSF30,0,130,116,No
30,Cameroon,2012,78,Population using solid fuels,Percent,All,All,POPUSF31,0,130,120,No
31,Canada,2012,0,Population using solid fuels,Percent,All,All,POPUSF32,0,130,124,No
32,Central African Republic,2012,97,Population using solid fuels,Percent,All,All,POPUSF33,0,130,140,No
33,Chad,2012,93,Population using solid fuels,Percent,All,All,POPUSF34,0,130,148,No
34,Chile,2012,7,Population using solid fuels,Percent,All,All,POPUSF35,0,130,152,No
35,China,2012,45,Population using solid fuels,Percent,All,All,POPUSF36,0,130,156,No
36,Colombia,2012,15,Population using solid fuels,Percent,All,All,POPUSF37,0,130,170,No
37,Comoros,2012,71,Population using solid fuels,Percent,All,All,POPUSF38,0,130,174,No
38,Congo,2012,76,Population using solid fuels,Percent,All,All,POPUSF39,0,130,178,No
39,Cook Islands,2012,17,Population using solid fuels,Percent,All,All,POPUSF40,0,130,184,No
40,Costa Rica,2012,6,Population using solid fuels,Percent,All,All,POPUSF41,0,130,188,No
41,Côte dIvoire,2012,79,Population using solid fuels,Percent,All,All,POPUSF42,0,130,384,No
42,Croatia,2012,7,Population using solid fuels,Percent,All,All,POPUSF43,0,130,191,No
43,Cuba,2012,7,Population using solid fuels,Percent,All,All,POPUSF44,0,130,192,No
44,Cyprus,2012,0,Population using solid fuels,Percent,All,All,POPUSF45,0,130,196,No
45,Czech Republic,2012,0,Population using solid fuels,Percent,All,All,POPUSF46,0,130,203,No
46,Democratic Peoples Republic of Korea,2012,92,Population using solid fuels,Percent,All,All,POPUSF47,0,130,408,No
47,Democratic Republic of the Congo,2012,93,Population using solid fuels,Percent,All,All,POPUSF48,0,130,180,No
48,Denmark,2012,0,Population using solid fuels,Percent,All,All,POPUSF49,0,130,208,No
