,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,79.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH1,0,130,4,Yes
1,Afghanistan,2011,81.0,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH2,0,130,4,Yes
2,Afghanistan,2010,79.1,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH3,0,130,4,Yes
3,Afghanistan,2009,78.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH4,0,130,4,Yes
4,Afghanistan,2008,80.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH5,0,130,4,Yes
5,Afghanistan,2007,89.1,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH6,0,130,4,Yes
6,Afghanistan,2006,87.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH7,0,130,4,Yes
7,Afghanistan,2005,90.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH8,0,130,4,Yes
8,Afghanistan,2004,89.5,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH9,0,130,4,Yes
9,Afghanistan,2003,93.5,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH10,0,130,4,Yes
10,Afghanistan,2002,93.3,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH11,0,130,4,Yes
11,Albania,2012,52.4,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH12,0,130,8,Yes
12,Albania,2011,52.1,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH13,0,130,8,Yes
13,Albania,2010,54.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH14,0,130,8,Yes
14,Albania,2009,52.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH15,0,130,8,Yes
15,Albania,2008,56.3,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH16,0,130,8,Yes
16,Albania,2007,59.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH17,0,130,8,Yes
17,Albania,2006,56.1,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH18,0,130,8,Yes
18,Albania,2005,55.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH19,0,130,8,Yes
19,Albania,2004,58.0,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH20,0,130,8,Yes
20,Albania,2003,64.1,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH21,0,130,8,Yes
21,Albania,2002,65.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH22,0,130,8,Yes
22,Albania,2001,61.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH23,0,130,8,Yes
23,Albania,2000,63.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH24,0,130,8,Yes
24,Albania,1999,56.7,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH25,0,130,8,Yes
25,Albania,1998,60.5,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH26,0,130,8,Yes
26,Albania,1997,60.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH27,0,130,8,Yes
27,Albania,1996,60.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH28,0,130,8,Yes
28,Albania,1995,51.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH29,0,130,8,Yes
29,Algeria,2012,15.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH30,0,130,12,Yes
30,Algeria,2011,18.0,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH31,0,130,12,Yes
31,Algeria,2010,20.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH32,0,130,12,Yes
32,Algeria,2009,20.7,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH33,0,130,12,Yes
33,Algeria,2008,20.0,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH34,0,130,12,Yes
34,Algeria,2007,22.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH35,0,130,12,Yes
35,Algeria,2006,25.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH36,0,130,12,Yes
36,Algeria,2005,27.3,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH37,0,130,12,Yes
37,Algeria,2004,27.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH38,0,130,12,Yes
38,Algeria,2003,22.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH39,0,130,12,Yes
39,Algeria,2002,23.5,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH40,0,130,12,Yes
40,Algeria,2001,22.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH41,0,130,12,Yes
41,Algeria,2000,26.7,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH42,0,130,12,Yes
42,Algeria,1999,30.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH43,0,130,12,Yes
43,Algeria,1998,29.7,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH44,0,130,12,Yes
44,Algeria,1997,29.0,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH45,0,130,12,Yes
45,Algeria,1996,25.3,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH46,0,130,12,Yes
46,Algeria,1995,27.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH47,0,130,12,Yes
47,Andorra,2012,23.4,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH48,0,130,20,Yes
48,Andorra,2011,26.4,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH49,0,130,20,Yes
49,Andorra,2010,26.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH50,0,130,20,Yes
50,Andorra,2009,29.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH51,0,130,20,Yes
51,Andorra,2008,30.1,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH52,0,130,20,Yes
52,Andorra,2007,30.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH53,0,130,20,Yes
53,Andorra,2006,29.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH54,0,130,20,Yes
54,Andorra,2005,30.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH55,0,130,20,Yes
55,Andorra,2004,30.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH56,0,130,20,Yes
56,Andorra,2003,31.4,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH57,0,130,20,Yes
57,Andorra,2002,31.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH58,0,130,20,Yes
58,Andorra,2001,31.3,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH59,0,130,20,Yes
59,Andorra,2000,35.2,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH60,0,130,20,Yes
60,Andorra,1999,33.9,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH61,0,130,20,Yes
61,Andorra,1998,28.0,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH62,0,130,20,Yes
62,Andorra,1997,33.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH63,0,130,20,Yes
63,Andorra,1996,34.8,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH64,0,130,20,Yes
64,Andorra,1995,35.6,Private expenditure on health as a percentage of total expenditure on health,Percent,All,All,PRIEXOHAPOTEH65,0,130,20,Yes
