,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,8.9,Raised fasting blood glucose,Percent,All,Male,RFBGASE1,0,130,4,No
1,Afghanistan,2008,9.2,Raised fasting blood glucose,Percent,All,All,RFBGASE2,0,130,4,No
2,Afghanistan,2008,8.9,Raised fasting blood glucose,Percent,All,Male,RFBGASE3,0,130,4,No
3,Afghanistan,2008,9.5,Raised fasting blood glucose,Percent,All,Female,RFBGASE4,0,130,4,No
4,Afghanistan,2008,9.2,Raised fasting blood glucose,Percent,All,All,RFBGASE5,0,130,4,No
5,Afghanistan,2008,9.5,Raised fasting blood glucose,Percent,All,Female,RFBGASE6,0,130,4,No
6,Albania,2008,9.0,Raised fasting blood glucose,Percent,All,Female,RFBGASE7,0,130,8,No
7,Albania,2008,9.6,Raised fasting blood glucose,Percent,All,All,RFBGASE8,0,130,8,No
8,Albania,2008,9.6,Raised fasting blood glucose,Percent,All,All,RFBGASE9,0,130,8,No
9,Albania,2008,10.3,Raised fasting blood glucose,Percent,All,Male,RFBGASE10,0,130,8,No
10,Albania,2008,9.0,Raised fasting blood glucose,Percent,All,Female,RFBGASE11,0,130,8,No
11,Albania,2008,10.3,Raised fasting blood glucose,Percent,All,Male,RFBGASE12,0,130,8,No
12,Algeria,2008,9.3,Raised fasting blood glucose,Percent,All,Female,RFBGASE13,0,130,12,No
13,Algeria,2008,9.0,Raised fasting blood glucose,Percent,All,Male,RFBGASE14,0,130,12,No
14,Algeria,2008,9.2,Raised fasting blood glucose,Percent,All,All,RFBGASE15,0,130,12,No
15,Algeria,2008,9.3,Raised fasting blood glucose,Percent,All,Female,RFBGASE16,0,130,12,No
16,Algeria,2008,9.0,Raised fasting blood glucose,Percent,All,Male,RFBGASE17,0,130,12,No
17,Algeria,2008,9.2,Raised fasting blood glucose,Percent,All,All,RFBGASE18,0,130,12,No
18,Andorra,2008,10.4,Raised fasting blood glucose,Percent,All,Male,RFBGASE19,0,130,20,No
19,Andorra,2008,8.6,Raised fasting blood glucose,Percent,All,All,RFBGASE20,0,130,20,No
20,Andorra,2008,10.4,Raised fasting blood glucose,Percent,All,Male,RFBGASE21,0,130,20,No
21,Andorra,2008,7.0,Raised fasting blood glucose,Percent,All,Female,RFBGASE22,0,130,20,No
22,Andorra,2008,7.0,Raised fasting blood glucose,Percent,All,Female,RFBGASE23,0,130,20,No
23,Andorra,2008,8.6,Raised fasting blood glucose,Percent,All,All,RFBGASE24,0,130,20,No
24,Angola,2008,8.7,Raised fasting blood glucose,Percent,All,Female,RFBGASE25,0,130,24,No
