,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2013,0.2,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU1,0,130,4,No
1,Afghanistan,2010,0.19,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU2,0,130,4,No
2,Albania,2013,5.36,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU3,0,130,8,No
3,Albania,2010,5.31,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU4,0,130,8,No
4,Angola,2013,0.42,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU5,0,130,24,No
5,Angola,2010,0.47,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU6,0,130,24,No
6,Antigua and Barbuda,2013,22.23,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU7,0,130,28,No
7,Antigua and Barbuda,2010,22.55,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU8,0,130,28,No
8,Armenia,2013,3.02,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU9,0,130,51,No
9,Armenia,2010,2.91,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU10,0,130,51,No
10,Austria,2013,28.49,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU11,0,130,40,No
11,Austria,2010,28.83,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU12,0,130,40,No
12,Azerbaijan,2013,1.06,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU13,0,130,31,No
13,Azerbaijan,2010,1.09,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU14,0,130,31,No
14,Bahamas,2013,13.25,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU15,0,130,44,No
15,Bahamas,2010,14.58,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU16,0,130,44,No
16,Barbados,2013,7.03,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU17,0,130,52,No
17,Barbados,2010,7.32,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU18,0,130,52,No
18,Belarus,2013,6.2,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU19,0,130,112,No
19,Belarus,2010,6.04,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU20,0,130,112,No
20,Belize,2013,12.05,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU21,0,130,84,No
21,Belize,2010,12.84,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU22,0,130,84,No
22,Benin,2013,0.29,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU23,0,130,204,No
23,Benin,2010,0.34,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU24,0,130,204,No
24,Bhutan,2013,1.33,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU25,0,130,64,No
25,Bhutan,2010,1.38,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU26,0,130,64,No
26,Bosnia and Herzegovina,2013,16.45,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU27,0,130,70,No
27,Bosnia and Herzegovina,2010,13.83,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU28,0,130,70,No
28,Botswana,2013,0.99,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU29,0,130,72,No
29,Botswana,2010,1.0,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU30,0,130,72,No
30,Brunei Darussalam,2013,7.18,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU31,0,130,96,No
31,Brunei Darussalam,2010,7.52,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU32,0,130,96,No
32,Burkina Faso,2013,0.65,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU33,0,130,854,No
33,Burkina Faso,2010,0.18,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU34,0,130,854,No
34,Burundi,2013,0.2,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU35,0,130,108,No
35,Burundi,2010,0.24,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU36,0,130,108,No
36,Cabo Verde,2013,2.0,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU37,0,130,132,No
37,Cabo Verde,2010,2.02,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU38,0,130,132,No
38,Cambodia,2013,1.19,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU39,0,130,116,No
39,Cambodia,2010,1.27,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU40,0,130,116,No
40,Cameroon,2013,0.63,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU41,0,130,120,No
41,Cameroon,2010,0.71,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU42,0,130,120,No
42,Canada,2013,13.76,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU43,0,130,124,No
43,Canada,2010,14.23,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU44,0,130,124,No
44,Central African Republic,2013,0.0,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU45,0,130,140,No
45,Central African Republic,2010,0.0,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU46,0,130,140,No
46,Chad,2013,0.08,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU47,0,130,148,No
47,Chad,2010,0.09,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU48,0,130,148,No
48,Chile,2013,12.6,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU49,0,130,152,No
49,Chile,2010,12.97,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU50,0,130,152,No
50,Comoros,2013,1.36,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU51,0,130,174,No
51,Comoros,2010,1.36,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU52,0,130,174,No
52,Costa Rica,2013,5.13,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU53,0,130,188,No
53,Costa Rica,2010,3.01,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU54,0,130,188,No
54,Côte dIvoire,2013,0.69,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU55,0,130,384,No
55,Côte dIvoire,2010,0.71,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU56,0,130,384,No
56,Croatia,2013,14.92,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU57,0,130,191,No
57,Croatia,2010,14.53,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU58,0,130,191,No
58,Cuba,2013,4.79,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU59,0,130,192,No
59,Cuba,2010,4.8,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU60,0,130,192,No
60,Cyprus,2013,25.41,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU61,0,130,196,No
61,Cyprus,2010,21.75,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU62,0,130,196,No
62,Czech Republic,2013,12.99,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU63,0,130,203,No
63,Czech Republic,2010,13.25,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU64,0,130,203,No
64,Democratic Republic of the Congo,2013,0.07,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU65,0,130,180,No
65,Democratic Republic of the Congo,2010,0.08,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU66,0,130,180,No
66,Denmark,2013,23.85,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU67,0,130,208,No
67,Denmark,2010,24.14,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU68,0,130,208,No
68,Dominica,2013,13.89,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU69,0,130,212,No
69,Dominica,2010,14.76,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU70,0,130,212,No
70,Ecuador,2013,1.59,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU71,0,130,218,No
71,Ecuador,2010,1.73,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU72,0,130,218,No
72,El Salvador,2013,4.73,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU73,0,130,222,No
73,El Salvador,2010,3.71,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU74,0,130,222,No
74,Eritrea,2013,0.32,Total density computed tomography units,per 1m pop,All,All,TODEPMPCTOU75,0,130,232,No
