Uniq ID,Year,From Currency,To Currency,Average
CURR_00001,2021,USD,ADF,5.549281
CURR_00002,2020,USD,ADF,5.751614
CURR_00003,2019,USD,ADF,5.860376
CURR_00004,2018,USD,ADF,5.559774
CURR_00005,2017,USD,ADF,5.818572
CURR_00006,2016,USD,ADF,5.92913
CURR_00007,2015,USD,ADF,5.916052
CURR_00008,2014,USD,ADF,4.945526
CURR_00009,2013,USD,ADF,4.940893
CURR_00010,2012,USD,ADF,5.108906
CURR_00011,2011,USD,ADF,4.717768
CURR_00012,2010,USD,ADF,4.958266
CURR_00013,2009,USD,ADF,4.716122
CURR_00014,2008,USD,ADF,4.483461
CURR_00015,2007,USD,ADF,4.79343
CURR_00016,2006,USD,ADF,5.228982
CURR_00017,2005,USD,ADF,5.281089
CURR_00018,2004,USD,ADF,5.279327
CURR_00019,2003,USD,ADF,5.810243
CURR_00020,2002,USD,ADF,6.95934
CURR_00021,2001,USD,ADF,7.219093
CURR_00022,2000,USD,ADF,6.571673
CURR_00023,2021,USD,ADP,140.759638
CURR_00024,2020,USD,ADP,145.891875
CURR_00025,2019,USD,ADP,148.650689
CURR_00026,2018,USD,ADP,141.025801
CURR_00027,2017,USD,ADP,147.590308
CURR_00028,2016,USD,ADP,150.39464
CURR_00029,2015,USD,ADP,150.062914
CURR_00030,2014,USD,ADP,125.445152
CURR_00031,2013,USD,ADP,125.327638
CURR_00032,2012,USD,ADP,129.589364
CURR_00033,2011,USD,ADP,119.668
CURR_00034,2010,USD,ADP,125.768319
CURR_00035,2009,USD,ADP,119.654132
CURR_00036,2008,USD,ADP,113.7247
CURR_00037,2007,USD,ADP,121.587174
CURR_00038,2006,USD,ADP,132.63512
CURR_00039,2005,USD,ADP,133.956844
CURR_00040,2004,USD,ADP,133.912148
CURR_00041,2003,USD,ADP,147.379022
CURR_00042,2002,USD,ADP,176.526312
CURR_00043,2001,USD,ADP,185.700904
CURR_00044,2000,USD,ADP,187.282884
CURR_00045,2021,USD,AED,3.6725
CURR_00046,2020,USD,AED,3.6725
CURR_00047,2019,USD,AED,3.672536
CURR_00048,2018,USD,AED,3.672506
CURR_00049,2017,USD,AED,3.672487
CURR_00050,2016,USD,AED,3.6725
CURR_00051,2015,USD,AED,3.6725
CURR_00052,2014,USD,AED,3.6725
CURR_00053,2013,USD,AED,3.6725
CURR_00054,2012,USD,AED,3.6725
CURR_00055,2011,USD,AED,3.672504
CURR_00056,2010,USD,AED,3.6725
CURR_00057,2009,USD,AED,3.6725
CURR_00058,2008,USD,AED,3.6725
CURR_00059,2007,USD,AED,3.6725
CURR_00060,2006,USD,AED,3.6725
CURR_00061,2005,USD,AED,3.6725
CURR_00062,2004,USD,AED,3.6725
CURR_00063,2003,USD,AED,3.6725
CURR_00064,2002,USD,AED,3.6725
CURR_00065,2001,USD,AED,3.6725
CURR_00066,2000,USD,AED,3.739528
CURR_00067,1999,USD,AED,4.025545
CURR_00068,1998,USD,AED,3.622519
CURR_00069,1997,USD,AED,4.059334
CURR_00070,1996,USD,AED,3.80078
CURR_00071,1995,USD,AED,3.453908
CURR_00072,1994,USD,AED,3.450535
CURR_00073,1993,USD,AED,3.797149
CURR_00074,1992,USD,AED,3.803902
CURR_00075,1991,USD,AED,4.05157
CURR_00076,1990,USD,AED,3.457248
CURR_00077,1989,USD,AED,3.889386
CURR_00078,1988,USD,AED,4.046254
CURR_00079,1987,USD,AED,3.405268
CURR_00080,1986,USD,AED,3.316936
CURR_00081,1985,USD,AED,3.432523
CURR_00082,1984,USD,AED,3.870916
CURR_00083,1983,USD,AED,3.998851
CURR_00084,1982,USD,AED,4.067089
CURR_00085,1981,USD,AED,4.326919
CURR_00086,1980,USD,AED,3.837067
CURR_00087,1979,USD,AED,3.815676
CURR_00088,1978,USD,AED,3.871211
CURR_00089,1977,USD,AED,3.903248
CURR_00090,1976,USD,AED,3.953072
CURR_00091,1975,USD,AED,3.961285
CURR_00092,1974,USD,AED,3.959045
CURR_00093,1973,USD,AED,3.996271
CURR_00094,1972,USD,AED,4.385978
CURR_00095,1971,USD,AED,4.747963
CURR_00096,1970,USD,AED,4.7619
CURR_00097,1969,USD,AED,4.7619
CURR_00098,1968,USD,AED,4.7619
CURR_00099,1967,USD,AED,4.7619
CURR_00100,1966,USD,AED,4.7619
CURR_00101,2021,USD,AFA,83483.484021
CURR_00102,2020,USD,AFA,76650.467395
CURR_00103,2019,USD,AFA,77578.507532
CURR_00104,2018,USD,AFA,71797.130873
CURR_00105,2017,USD,AFA,67938.354811
CURR_00106,2016,USD,AFA,67769.910067
CURR_00107,2015,USD,AFA,61235.931022
CURR_00108,2014,USD,AFA,56664.930925
CURR_00109,2013,USD,AFA,54176.218868
CURR_00110,2012,USD,AFA,49165.700199
CURR_00111,2011,USD,AFA,44456.627115
CURR_00112,2010,USD,AFA,45211.041442
CURR_00113,2009,USD,AFA,48404.808709
CURR_00114,2008,USD,AFA,45520.041125
CURR_00115,2007,USD,AFA,43036.649727
CURR_00116,2006,USD,AFA,43019.426103
CURR_00117,2005,USD,AFA,42999.876284
CURR_00118,2004,USD,AFA,43228.945036
CURR_00119,2003,USD,AFA,43242.104597
CURR_00120,2002,USD,AFA,47493.801067
CURR_00121,2001,USD,AFA,47536.582234
CURR_00122,2000,USD,AFA,48285.293234
CURR_00123,1999,USD,AFA,51101.163212
CURR_00124,1998,USD,AFA,46853.55354
CURR_00125,1997,USD,AFA,52522.964372
CURR_00126,1996,USD,AFA,49179.257327
CURR_00127,1995,USD,AFA,34404.672943
CURR_00128,1994,USD,AFA,41636.004258
CURR_00129,1993,USD,AFA,46358.975949
CURR_00130,1992,USD,AFA,46441.423013
CURR_00131,1991,USD,AFA,49465.184955
CURR_00132,1990,USD,AFA,42209.168258
CURR_00133,1989,USD,AFA,47485.096717
CURR_00134,1988,USD,AFA,49400.275975
CURR_00135,1987,USD,AFA,41574.553959
CURR_00136,1986,USD,AFA,40496.117345
CURR_00137,1985,USD,AFA,41907.303414
CURR_00138,1984,USD,AFA,47259.593659
CURR_00139,1983,USD,AFA,48821.532762
CURR_00140,1982,USD,AFA,49654.6528
CURR_00141,1981,USD,AFA,51865.530742
CURR_00142,1980,USD,AFA,40591.528171
CURR_00143,1979,USD,AFA,38622.2969
CURR_00144,1978,USD,AFA,39858.6533
CURR_00145,1977,USD,AFA,39858.6533
